Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,,,
CHEMBL202895,O=C(NCc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=230nM,2.30E+02,-5.3,1.29E+05,
CHEMBL2387641,O=C(O)[C@H](Cc1ccccc1)N1C(=O)/C(=C/c2cccc(Oc3ccc(Cl)cc3)c2)SC1=S,IC50=55700nM,5.57E+04,-5.3,1.29E+05,
CHEMBL206290,O=C(Nc1csc(-c2nc(O)c(O)c(C(=O)O)n2)c1)c1cccs1,IC50=13800nM,1.38E+04,-5.3,1.29E+05,
CHEMBL379718,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NC(=O)OCCOCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=96nM,9.60E+01,-5.3,1.29E+05,
CHEMBL394002,COc1ccc(CNS(=O)(=O)Nc2ccc3c(c2)S(=O)(=O)N=C(c2c(O)c4cccnc4n(CCC(C)C)c2=O)N3)cc1,IC50=10nM,1.00E+01,-5.3,1.29E+05,
CHEMBL182383,O=C(O)c1cnc(N(C(=O)c2ccc(Oc3cccc(Cl)c3)cc2)C2CCCCC2)s1,IC50=2800nM,2.80E+03,-5.3,1.29E+05,
CHEMBL201912,CCOC(=O)c1ccc2c(O)c(C3=NS(=O)(=O)c4ccccc4N3)c(=O)n(CCC(C)C)c2c1,IC50>10000nM,1.00E+04,-5.3,1.29E+05,
CHEMBL193333,O=C(Nc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50>100000nM,1.00E+05,-5.3,1.29E+05,
CHEMBL215925,O=C1CC(=O)OC(CCc2ccc(O)cc2)(C2CCC2)C1,IC50=93000nM,9.30E+04,-5.3,1.29E+05,
CHEMBL2017857,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CCCc3ocnc3-5)CCCC2)cc1,IC50=5850nM,5.85E+03,-5.3,1.29E+05,
CHEMBL2376562,Cc1ccc(S(=O)(=O)Nc2cc(Oc3ccccc3)ccc2C(=O)O)cc1,IC50=77nM,7.70E+01,-5.3,1.29E+05,
CHEMBL4555125,COc1ccc(/C=c2/sc3n(c2=O)CN(c2ccc(Cl)cc2)CN=3)cc1,IC50=990nM,9.90E+02,-5.3,1.29E+05,
CHEMBL202165,CC(CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21)C(F)(F)F,IC50=44nM,4.40E+01,-5.3,1.29E+05,
CHEMBL190800,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(Cl)cc1,IC50=110nM,1.10E+02,-5.3,1.29E+05,
CHEMBL4444480,COP(=O)(Nc1nc(-c2ccc(-c3cc4nc(C)cc(N)n4n3)cc2)sc1C(=O)O)c1ccc(C)cc1C,IC50=271.8nM,2.72E+02,-5.3,1.29E+05,
CHEMBL2017858,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CCCc3occc3-5)CCCC2)cc1,IC50=3720nM,3.72E+03,-5.3,1.29E+05,
CHEMBL183281,O=C(O)c1csc(N(C(=O)c2ccc(Oc3ccccc3)cc2)C2CCCCC2)n1,IC50=10000nM,1.00E+04,-5.3,1.29E+05,
CHEMBL82516,CCOC(=O)N(CC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,IC50=3100nM,3.10E+03,-5.3,1.29E+05,
CHEMBL607288,C[C@@H]1C[C@@H](N(C(=O)c2ccc(Oc3ccccc3)cc2)c2nc(C(=O)O)cs2)CC(C)(C)C1,IC50=5500nM,5.50E+03,-5.3,1.29E+05,
CHEMBL381218,CC(C)=CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=289nM,2.89E+02,-5.3,1.29E+05,
CHEMBL373305,Cc1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,IC50=580nM,5.80E+02,-5.3,1.29E+05,
CHEMBL521487,C[C@@]1(O)[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1ccc(=O)[nH]c1=O,IC50=36000nM,3.60E+04,-5.3,1.29E+05,
CHEMBL3914527,COc1ccc2c(c1)C1CC13Cn1c-2c(C2CCCCC2)c2ccc(cc21)C(=O)NS(=O)(=O)N(C)CCCCNC3=O,IC50=280nM,2.80E+02,-5.3,1.29E+05,
CHEMBL4543543,O=c1ccn([C@@H]2O[C@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]2(O)CF)c(=O)[nH]1,IC50=150nM,1.50E+02,-5.3,1.29E+05,
CHEMBL4554145,O=C(CN1C(=O)S/C(=C\c2ccc(F)cc2)C1=O)Nc1ccc(Cl)cc1,IC50=100nM,1.00E+02,-5.3,1.29E+05,
CHEMBL378026,CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=12nM,1.20E+01,-5.3,1.29E+05,
CHEMBL4464682,COc1ccc(N2CN=c3s/c(=C/c4ccc(Cl)cc4)c(=O)n3C2)cc1,IC50=3530nM,3.53E+03,-5.3,1.29E+05,
CHEMBL386744,O=C(O)c1cc2[nH]c(-c3ccccc3)c(C3CCCCC3)c2s1,IC50=66nM,6.60E+01,-5.2,1.53E+05,
CHEMBL2236434,Cc1cccc(CSc2nc(-c3cccc(C)c3)c(C#N)c(=O)[nH]2)c1,IC50=22387.21nM,2.24E+04,-5.2,1.53E+05,
CHEMBL2236426,N#Cc1c(-c2ccc(F)cc2F)nc(SCc2ccccc2Br)[nH]c1=O,IC50=13000nM,1.30E+04,-5.2,1.53E+05,
CHEMBL2236431,N#Cc1c(-c2ccc(Br)cc2)nc(SCc2cccc([N+](=O)[O-])c2)[nH]c1=O,IC50=14125.38nM,1.41E+04,-5.2,1.53E+05,
CHEMBL369555,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1CC1CCCCC1,IC50=93nM,9.30E+01,-5.2,1.53E+05,
CHEMBL187480,O=C(O)c1sc(-c2ccccc2)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cn1,IC50=15000nM,1.50E+04,-5.2,1.53E+05,
CHEMBL377813,CCN(C(C)=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=19nM,1.90E+01,-5.2,1.53E+05,
CHEMBL376462,O=C(O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=24nM,2.40E+01,-5.2,1.53E+05,
CHEMBL205029,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccncc3)cc1)n2C1CCCC1,IC50=4200nM,4.20E+03,-5.2,1.53E+05,
CHEMBL213360,O=C1CC(=O)OC(CCc2cccc(Cl)c2)(C2CCCC2)C1,IC50=5000nM,5.00E+03,-5.2,1.53E+05,
CHEMBL381310,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CCOC1,IC50=484nM,4.84E+02,-5.2,1.53E+05,
CHEMBL213832,CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,IC50=58nM,5.80E+01,-5.2,1.53E+05,
CHEMBL2236429,N#Cc1c(-c2ccc(Cl)cc2Cl)nc(SCc2ccc(OC(F)(F)F)cc2)[nH]c1=O,IC50=11000nM,1.10E+04,-5.2,1.53E+05,
CHEMBL3651435,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ncccn5)COC4)ccc3C)c(F)c12,IC50=10nM,1.00E+01,-5.2,1.53E+05,
CHEMBL381660,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccc(C)cc2)sc2c1CCC(C)(C)C2,IC50=400nM,4.00E+02,-5.2,1.53E+05,
CHEMBL379470,O=C(NCCc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=620nM,6.20E+02,-5.2,1.53E+05,
CHEMBL2236440,Cc1cccc(CSc2nc(-c3ccccc3C)c(C#N)c(=O)[nH]2)c1,IC50=14000nM,1.40E+04,-5.2,1.53E+05,
CHEMBL2236445,Cc1cccc(CSc2nc(-c3ccccc3C(F)(F)F)c(C#N)c(=O)[nH]2)c1,IC50=14000nM,1.40E+04,-5.2,1.53E+05,
CHEMBL202133,O=S(=O)(NN1C(=S)SC(Cc2ccc(Cl)c(Cl)c2)C1O)c1ccccc1,IC50=27000nM,2.70E+04,-5.2,1.53E+05,
CHEMBL425704,O=C(O)c1cnc(N(C(=O)c2ccc(Oc3cccc(OC(F)(F)F)c3)cc2)C2CCCCC2)s1,IC50=5200nM,5.20E+03,-5.2,1.53E+05,
CHEMBL208997,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)N(C)C)ccc3N2)c(O)c2cccnc21,IC50=934nM,9.34E+02,-5.2,1.53E+05,
CHEMBL368217,O=C(O)c1cnc(N(C(=O)c2ccc(OCc3ccccc3C(F)(F)F)cc2)C2CCCCC2)s1,IC50=5100nM,5.10E+03,-5.2,1.53E+05,
CHEMBL194300,O=C(O)C(=O)/C=C(\O)c1cccc(NC(=O)C(=O)O)c1,IC50=19000nM,1.90E+04,-5.2,1.53E+05,
CHEMBL217259,O=C(O)c1ccc2c(c1)C1CCCOc3ccccc3C1=C2C1CCCCC1,IC50=47nM,4.70E+01,-5.2,1.53E+05,
CHEMBL201823,CC(=O)Nc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C,IC50>10000nM,1.00E+04,-5.2,1.53E+05,
CHEMBL2236429,N#Cc1c(-c2ccc(Cl)cc2Cl)nc(SCc2ccc(OC(F)(F)F)cc2)[nH]c1=O,IC50=11220.18nM,1.12E+04,-5.2,1.53E+05,
CHEMBL2236434,Cc1cccc(CSc2nc(-c3cccc(C)c3)c(C#N)c(=O)[nH]2)c1,IC50=22000nM,2.20E+04,-5.2,1.53E+05,
CHEMBL203312,C#CCCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=179nM,1.79E+02,-5.2,1.53E+05,
CHEMBL190428,COc1ccc(-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2CC(=O)N2CCC(N(C)C)CC2)cc1,IC50=9nM,9.00E+00,-5.2,1.53E+05,
CHEMBL190098,CCN(CC)C1CCN(C(=O)Cn2c(-c3ccc(OC)cc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1,IC50=9nM,9.00E+00,-5.2,1.53E+05,
CHEMBL4641917,CS(=O)(=O)Nc1cccc(S(=O)(=O)NC(=O)c2c(-c3ccc[nH]c3=O)c3ccc(Cl)cc3n2Cc2ccnc(N)c2)c1,IC50=39nM,3.90E+01,-5.2,1.53E+05,
CHEMBL386254,O=C1CC(=O)OC(CCc2ccc(O)cc2)(C2CCCC2)C1,IC50=8200nM,8.20E+03,-5.2,1.53E+05,
CHEMBL183046,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,IC50=41nM,4.10E+01,-5.2,1.53E+05,
CHEMBL362227,CCCC(C)Nc1ncnc2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc12,IC50=1500nM,1.50E+03,-5.2,1.53E+05,
CHEMBL176038,O=C(O)c1ccc2c(c1)nc(-c1cc3ccccc3o1)n2C1CCCCC1,IC50=58000nM,5.80E+04,-5.2,1.53E+05,
CHEMBL174838,O=C(O)c1ccc2c(c1)nc(-c1cccnc1)n2C1CCCCC1,IC50=28000nM,2.80E+04,-5.2,1.53E+05,
CHEMBL443828,O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50=1500nM,1.50E+03,-5.2,1.53E+05,
CHEMBL214680,O=C1CC(=O)OC(CCc2ccccc2)(C2CCCC2)C1,IC50=48000nM,4.80E+04,-5.2,1.53E+05,
CHEMBL182203,CC(C)Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=6350nM,6.35E+03,-5.2,1.53E+05,
CHEMBL216863,Cn1c(-c2ccoc2)c(C2CCCCC2)c2ccc(C(=O)O)nc21,IC50=51nM,5.10E+01,-5.2,1.53E+05,
CHEMBL4279843,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC4(C)CCC4)c3)cc12,IC50=11nM,1.10E+01,-5.2,1.53E+05,
CHEMBL175882,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=36nM,3.60E+01,-5.2,1.53E+05,
CHEMBL376462,O=C(O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=41686938.35nM,4.17E+07,-5.2,1.53E+05,
CHEMBL2376562,Cc1ccc(S(=O)(=O)Nc2cc(Oc3ccccc3)ccc2C(=O)O)cc1,IC50=52nM,5.20E+01,-5.2,1.53E+05,
CHEMBL368787,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1ccc2c(c1)nc(-c1ccccn1)n2C1CCCCC1,IC50=1500nM,1.50E+03,-5.2,1.53E+05,
CHEMBL183588,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1CC1,IC50=285nM,2.85E+02,-5.2,1.53E+05,
CHEMBL202079,COCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=819nM,8.19E+02,-5.2,1.53E+05,
CHEMBL192821,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)cc1F,IC50=230nM,2.30E+02,-5.2,1.53E+05,
CHEMBL197118,O=C(O)C(=O)/C=C(\O)c1cnc2cc(Cl)ccc2c1O,IC50=26000nM,2.60E+04,-5.2,1.53E+05,
CHEMBL202315,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2c([N+](=O)[O-])cccc21,IC50=338nM,3.38E+02,-5.2,1.53E+05,
CHEMBL179943,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50=5800nM,5.80E+03,-5.2,1.53E+05,
CHEMBL183402,Fc1ccc(-c2nc3ncnc(NCCc4ccccc4)c3nc2-c2ccc(F)cc2)cc1,IC50=13000nM,1.30E+04,-5.2,1.53E+05,
CHEMBL211710,O=c1c(C2=NS(=O)(=O)c3ccc(O)cc3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50=2510nM,2.51E+03,-5.2,1.53E+05,
CHEMBL2236456,N#Cc1c(-c2ccc(Br)cc2)nc(SCCC(=O)Oc2ccccc2)[nH]c1=O,IC50=30000nM,3.00E+04,-5.2,1.53E+05,
CHEMBL4640290,C[C@@]1(F)[C@H](O)[C@@](F)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,IC50=160nM,1.60E+02,-5.2,1.53E+05,
CHEMBL383733,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)Nc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=41nM,4.10E+01,-5.2,1.53E+05,
CHEMBL372590,N#Cc1cc(Cl)c(Cl)cc1COc1cccc(/C(O)=C/C(=O)C(=O)O)c1,IC50=56nM,5.60E+01,-5.2,1.53E+05,
CHEMBL4555125,COc1ccc(/C=c2/sc3n(c2=O)CN(c2ccc(Cl)cc2)CN=3)cc1,IC50=990.83nM,9.91E+02,-5.2,1.53E+05,
CHEMBL371635,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CC1,IC50=78nM,7.80E+01,-5.2,1.53E+05,
CHEMBL4471005,COP(=O)(Nc1nn(-c2ccc(-c3cc4nc(C)ccn4n3)cc2)cc1C(=O)O)c1ccc(C)cc1C,IC50=196.6nM,1.97E+02,-5.2,1.53E+05,
CHEMBL381699,CS(=O)(=O)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=2322nM,2.32E+03,-5.2,1.53E+05,
CHEMBL211649,COc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50=100nM,1.00E+02,-5.2,1.53E+05,
CHEMBL2236445,Cc1cccc(CSc2nc(-c3ccccc3C(F)(F)F)c(C#N)c(=O)[nH]2)c1,IC50=14125.38nM,1.41E+04,-5.2,1.53E+05,
CHEMBL2236440,Cc1cccc(CSc2nc(-c3ccccc3C)c(C#N)c(=O)[nH]2)c1,IC50=14125.38nM,1.41E+04,-5.2,1.53E+05,
CHEMBL212223,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCCO)ccc3N2)c(O)c2cccnc21,IC50=107nM,1.07E+02,-5.2,1.53E+05,
CHEMBL183046,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc21,IC50=810nM,8.10E+02,-5.2,1.53E+05,
CHEMBL1687959,O=C(CN1C(=O)S/C(=C\c2ccc(Cl)cc2)C1=O)Nc1ccccc1,IC50=85nM,8.50E+01,-5.2,1.53E+05,
CHEMBL3957774,COc1ccc2c(c1)C(C)=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,IC50=40nM,4.00E+01,-5.2,1.53E+05,
CHEMBL4471056,O=C(CN1C(=O)S/C(=C\c2ccccc2)C1=O)Nc1ccc(Cl)cc1,IC50=140nM,1.40E+02,-5.2,1.53E+05,
CHEMBL2236449,COc1cc(CSc2nc(-c3ccc(C(C)C)cc3)c(C#N)c(=O)[nH]2)cc(OC)c1,IC50=25000nM,2.50E+04,-5.2,1.53E+05,
CHEMBL1689386,COc1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3)C2=O)cc1,IC50=250nM,2.50E+02,-5.2,1.53E+05,
CHEMBL2043027,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCCCN(C)C1=O,IC50=26nM,2.60E+01,-5.2,1.53E+05,
CHEMBL4293302,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC4(c5ncccn5)COC4)c3)cc12,IC50=43nM,4.30E+01,-5.2,1.53E+05,
CHEMBL4287762,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC45CC(C4)C5)c3)cc12,IC50=15nM,1.50E+01,-5.2,1.53E+05,
CHEMBL377907,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)c(F)c1)n2C1CCCCC1,IC50=380nM,3.80E+02,-5.1,1.81E+05,
CHEMBL208945,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCCC(N)=O)ccc3N2)c(O)c2cccnc21,IC50=20nM,2.00E+01,-5.1,1.81E+05,
CHEMBL192409,O=C(CCC1CCCC1)N/C(=C\c1ccc(Oc2ccc(F)cc2Br)cc1)C(=O)O,IC50=15000nM,1.50E+04,-5.1,1.81E+05,
CHEMBL2236448,Cc1cccc(CSc2nc(-c3cc(Cl)cc(Cl)c3)c(C#N)c(=O)[nH]2)c1,IC50=29000nM,2.90E+04,-5.1,1.81E+05,
CHEMBL368647,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CCN3CCOCC3)c2c1,IC50=111nM,1.11E+02,-5.1,1.81E+05,
CHEMBL387301,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1F)n2C1CCCCC1,IC50=10000000nM,1.00E+07,-5.1,1.81E+05,
CHEMBL360125,O=C(Nc1ncc(C(=O)O)s1)c1ccc(Oc2ccccc2)cc1,IC50>50000nM,5.00E+04,-5.1,1.81E+05,
CHEMBL205990,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1c(Cl)cccc1Cl,IC50=173.6nM,1.74E+02,-5.1,1.81E+05,
CHEMBL2236438,Cc1cccc(CSc2nc(-c3cccc(C(F)(F)F)c3)c(C#N)c(=O)[nH]2)c1,IC50=14000nM,1.40E+04,-5.1,1.81E+05,
CHEMBL363178,O=C(O)/C(=C/c1ccc(-c2cccc(OC(F)(F)F)c2)o1)NC(=O)c1ccccc1,IC50=66000nM,6.60E+04,-5.1,1.81E+05,
CHEMBL372498,O=C(O)/C(=C/c1ccc(Oc2ccccc2[N+](=O)[O-])cc1)NC(=O)c1ccccc1,IC50=73000nM,7.30E+04,-5.1,1.81E+05,
CHEMBL212226,COc1cc(OCc2ccccc2-c2ccccc2)ccc1-c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,IC50=1100nM,1.10E+03,-5.1,1.81E+05,
CHEMBL202911,O=C(Cc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=210nM,2.10E+02,-5.1,1.81E+05,
CHEMBL372277,O=C(NCc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50>100000nM,1.00E+05,-5.1,1.81E+05,
CHEMBL181754,O=C(O)c1cnc(N(C(=O)c2ccc(OCc3ccccn3)cc2)C2CCCCC2)s1,IC50=15000nM,1.50E+04,-5.1,1.81E+05,
CHEMBL2236446,N#Cc1c(-c2ccccc2C(F)(F)F)nc(SCc2ccc(OC(F)(F)F)cc2)[nH]c1=O,IC50=9332.54nM,9.33E+03,-5.1,1.81E+05,
CHEMBL208585,CN(C)C(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=22nM,2.20E+01,-5.1,1.81E+05,
CHEMBL2376577,Cc1ccc(S(=O)(=O)Nc2ccc(Oc3ccccc3)cc2C(=O)O)cc1,IC50=170nM,1.70E+02,-5.1,1.81E+05,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,IC50=13nM,1.30E+01,-5.1,1.81E+05,
CHEMBL185085,COC(=O)N(CCC(=O)O)C(=O)c1c(Br)ccc2c(C(F)(F)F)c(OC)ccc12,IC50>10000nM,1.00E+04,-5.1,1.81E+05,
CHEMBL201770,O=C(O)CCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50>10000nM,1.00E+04,-5.1,1.81E+05,
CHEMBL212417,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)O)ccc3N2)c(O)c2cccnc21,IC50=367nM,3.67E+02,-5.1,1.81E+05,
CHEMBL1689387,O=C(CN1C(=O)S/C(=C\c2ccc(Cl)cc2Cl)C1=O)Nc1ccccc1,IC50=440nM,4.40E+02,-5.1,1.81E+05,
CHEMBL201336,CN(C)C(=O)Cn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,IC50>10000nM,1.00E+04,-5.1,1.81E+05,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,IC50=10nM,1.00E+01,-5.1,1.81E+05,
CHEMBL264034,COc1ccc(CCNC(=O)c2ccc3c(c2)nc(-c2ccc(OCC(=O)NCCCN(C)C)cc2)n3C2CCCCC2)cc1OC,IC50=14000nM,1.40E+04,-5.1,1.81E+05,
CHEMBL368884,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)[nH]c2c1,IC50=48nM,4.80E+01,-5.1,1.81E+05,
CHEMBL361161,O=C(O)c1cnc(N(C(=O)c2ccc(Oc3ccc(Cl)c(Cl)c3)cc2)C2CCCCC2)s1,IC50=2600nM,2.60E+03,-5.1,1.81E+05,
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,IC50=10nM,1.00E+01,-5.1,1.81E+05,
CHEMBL363165,CC(C)(C)c1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1,IC50>100000nM,1.00E+05,-5.1,1.81E+05,
CHEMBL425754,Cc1cccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)c1,IC50=25000nM,2.50E+04,-5.1,1.81E+05,
CHEMBL174719,N#Cc1c(Cl)cc(Cl)cc1COc1cccc(/C(O)=C/C(=O)C(=O)O)c1,IC50=45nM,4.50E+01,-5.1,1.81E+05,
CHEMBL2236438,Cc1cccc(CSc2nc(-c3cccc(C(F)(F)F)c3)c(C#N)c(=O)[nH]2)c1,IC50=14125.38nM,1.41E+04,-5.1,1.81E+05,
CHEMBL212582,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cccnc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=18879913.49nM,1.89E+07,-5.1,1.81E+05,
CHEMBL206458,O=C(O)c1nc(-c2cc([N+](=O)[O-])cs2)nc(O)c1O,IC50=9400nM,9.40E+03,-5.1,1.81E+05,
CHEMBL362617,O=C(O)c1cnc(N(C(=O)c2ccc(OC3CCCCC3)cc2)C2CCCCC2)s1,IC50=5500nM,5.50E+03,-5.1,1.81E+05,
CHEMBL382093,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2cccc3ccccc23)sc2c1CCCC2,IC50=700nM,7.00E+02,-5.1,1.81E+05,
CHEMBL4277494,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(C)(F)F)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12,IC50=96nM,9.60E+01,-5.1,1.81E+05,
CHEMBL387301,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1F)n2C1CCCCC1,IC50=100nM,1.00E+02,-5.1,1.81E+05,
CHEMBL2375371,O=C(O)c1cc(Oc2ccccc2)ccc1NS(=O)(=O)c1ccc(Br)cc1F,IC50=93nM,9.30E+01,-5.1,1.81E+05,
CHEMBL203383,O=C(CCc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=580nM,5.80E+02,-5.1,1.81E+05,
CHEMBL378164,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc([N+](=O)[O-])ccc21,IC50=455nM,4.55E+02,-5.1,1.81E+05,
CHEMBL380462,O=C(Cc1ccccc1)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=380nM,3.80E+02,-5.1,1.81E+05,
CHEMBL177073,CS(=O)(=O)Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1,IC50=120nM,1.20E+02,-5.1,1.81E+05,
CHEMBL193049,O=C(O)/C(=C/c1ccc(-c2ccccc2)o1)NC(=O)c1ccccc1,IC50=6700nM,6.70E+03,-5.1,1.81E+05,
