Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,,,
CHEMBL206019,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)cc(Cl)c3)cc1)n2C1CCCC1,IC50=1700nM,1.70E+03,-6.6,1.43E+04,
CHEMBL212582,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cccnc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=53nM,5.30E+01,-6.5,1.70E+04,
CHEMBL241423,CNC(=O)c1ccc(NS(=O)(=O)Nc2ccc3c(c2)S(=O)(=O)N=C(c2c(O)c4cccnc4n(CCC(C)C)c2=O)N3)cc1,IC50=43nM,4.30E+01,-6.5,1.70E+04,
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=61nM,6.10E+01,-6.5,1.70E+04,
CHEMBL379241,O=C(O)c1ccc2c(c1)nc(-c1ccc(Oc3ccccc3-c3ccccc3)cc1)n2C1CCCCC1,IC50=580nM,5.80E+02,-6.4,2.01E+04,
CHEMBL173466,O=C(O)C(=O)Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1,IC50=8nM,8.00E+00,-6.4,2.01E+04,
CHEMBL203449,CN(C)C(=O)c1ccc(C(Oc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c2ccc(C(=O)N(C)C)cc2)cc1,IC50=950nM,9.50E+02,-6.4,2.01E+04,
CHEMBL379931,CC(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=45498806.02nM,4.55E+07,-6.4,2.01E+04,
CHEMBL380341,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCCc1ccccc1,IC50>10000nM,1.00E+04,-6.4,2.01E+04,
CHEMBL173638,COc1ccc([C@H](C)NC(=O)c2ccc3c(c2)nc(-c2ccccn2)n3C2CCCCC2)cc1OC,IC50=12000nM,1.20E+04,-6.3,2.38E+04,
CHEMBL209425,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=50nM,5.00E+01,-6.3,2.38E+04,
CHEMBL210050,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=44nM,4.40E+01,-6.3,2.38E+04,
CHEMBL212677,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccccc3)cc1)n2C1CCCCC1,IC50=5000345.35nM,5.00E+06,-6.3,2.38E+04,
CHEMBL209425,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=50nM,5.00E+01,-6.3,2.38E+04,
CHEMBL209425,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=19998618.7nM,2.00E+07,-6.3,2.38E+04,
CHEMBL193508,O=C(O)/C(=C/c1ccc(Oc2ccccc2-c2ccccc2)cc1)NC(=O)c1ccccc1,IC50=48000nM,4.80E+04,-6.3,2.38E+04,
CHEMBL380002,CC(=O)N(c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1)C(C)C,IC50=21nM,2.10E+01,-6.3,2.38E+04,
CHEMBL386319,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2ccccc2)ccc1-3,IC50=17nM,1.70E+01,-6.3,2.38E+04,
CHEMBL209282,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccnc3)cc1)n2C1CCCCC1,IC50=290nM,2.90E+02,-6.2,2.82E+04,
