$'molecule1', 'molecule2', 'rmsd'
4_3,4_4,1.3866909422184774
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_4,4_5,3.820366872233809
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_5,4_6,5.959703170847973
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_6,4_7,5.7720365989830675
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_7,4_8,4.376784668962085
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_0,5_1,62.77776437561312
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_1,5_2,4.523371368054288
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_2,5_3,4.707378644213783
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_3,5_4,6.758067420991497
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_4,5_5,1.9775593964952527
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_5,5_6,7.00371307474352
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_6,5_7,6.105534896032178
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_7,5_8,4.697225007029859
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_0,6_1,61.74268951494145
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_1,6_2,4.2122963497908765
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_2,6_3,5.989997431616247
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_3,6_4,4.985480148159483
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_4,6_5,2.637988540244544
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_5,6_6,8.198172610639896
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_6,6_7,4.423442163849672
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_0,7_1,59.90155216301545
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_1,7_2,1.5325159680433
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_2,7_3,2.354689592477759
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_3,7_4,7.435190181727805
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_4,7_5,6.293887122866489
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_5,7_6,1.3412358967643354
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_6,7_7,5.964896101358347
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_7,7_8,6.81365700690109
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_0,8_1,63.95220817113579
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_1,8_2,4.610479708539789
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_2,8_3,6.653707070927776
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_3,8_4,6.540883546695245
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_4,8_5,6.550913232410535
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_5,8_6,7.420863152529591
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_6,8_7,6.170398736826379
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_7,8_8,6.797917265078852
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_0,9_1,59.59563649121556
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_1,9_2,2.3406168137833916
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_2,9_3,3.0766124339873433
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_3,9_4,6.586588617842294
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_4,9_5,7.408239203984188
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_5,9_6,8.347985550935068
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_6,9_7,7.357664950053201
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_7,9_8,6.765898413723604
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_0,10_1,66.29765665222959
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_1,10_2,1.963611478490981
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_2,10_3,4.206536895576473
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_3,10_4,5.005079796489839
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_4,10_5,4.837006023278322
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_5,10_6,3.147434070917011
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_7,10_8,2.2474673868985087
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_0,11_1,58.10072907608315
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_1,11_2,2.9341290783256047
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_2,11_3,7.36013513509749
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_3,11_4,7.20003031602813
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_4,11_5,4.0801353172286525
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_5,11_6,2.165730353833838
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_6,11_7,3.8226455634087086
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_0,12_1,61.46063488632077
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_1,12_2,6.800738181610495
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_2,12_3,1.808187531244518
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_3,12_4,1.9760360807921986
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_4,12_5,2.1198037120869895
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_5,12_6,4.641120869566523
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_6,12_7,1.7849424827334537
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_0,13_1,65.86219841316273
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_1,13_2,7.990039319886563
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_2,13_3,2.233879642966303
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_3,13_4,2.349706538020188
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_4,13_5,2.0242846656059545
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_5,13_6,8.012413900849015
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_6,13_7,6.450966189477183
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_7,13_8,4.8085228770651876
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
14_0,14_1,60.7624375092595
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
14_1,14_2,1.942021258036756
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
14_2,14_3,4.3081589377985265
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
14_3,14_4,3.3455763678824217
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
14_4,14_5,7.984842645078653
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
5_8,5_9,2.8794553362282476
6_8,6_9,6.056566613018554
7_8,7_9,4.353353587929478
8_8,8_9,4.024953300527668
9_8,9_9,4.764868316015199
10_8,10_9,6.056566613018554
11_8,11_9,6.056566613018554
12_7,12_8,2.625894761085503
13_8,13_9,4.60407493422946
14_5,14_6,7.580815776242906
1_8,1_9,6.056566613018554
2_8,2_9,6.056566613018554
3_8,3_9,5.398428549836729
4_8,4_9,8.30766997789022
