Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-2.1,3.704,7.012
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-1.6,3.653,7.511
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-10.2,0,0
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-9.7,1.872,3.949
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-9.5,3.443,7.498
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-9.2,3.281,7.78
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-8.4,3.802,8.692
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-7.4,5.878,7.454
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-7.2,1.373,2.104
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-10.2,0,0
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-9.7,1.876,3.951
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-9.6,3.446,7.498
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-9.2,3.281,7.778
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-8.4,3.804,8.698
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-7.2,5.885,7.378
CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,10,-7.2,1.373,2.105
CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,-10.9,0,0
CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,-10.2,5.197,8.758
CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,-10.1,1.647,2.104
CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,-9.8,1.587,3.326
CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,-8.5,2.4,8.353
CHEMBL4638877,Cn1c(-c2ccc(OCc3cc(N4CCCC4=O)ccc3N3CCOCC3)cc2)c(C2CCCCC2)c2sc(C(=O)O)cc21,10,-8,1.736,2.541
