Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-5.5,0,0,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-5.5,4.051,8.004,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-4.9,3.316,6.329,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-4.8,2.868,6.336,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-4.1,3.399,6.468,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-4,2.792,5.992,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-3.9,2.911,5.643,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-3.5,3.335,6.769,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,6,-3.1,3.45,6.951,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-11.7,0,0,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-11.4,0.995,1.291,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-11,0.824,2.489,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-10.7,4.286,7.055,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-10.6,1.477,2.814,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-9.9,1.301,4.109,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-9.7,1.343,3.169,
CHEMBL245328,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1cc(OCc2cc(N4CCCC4=O)ccc2N2CCOCC2)ccc1-3,7.2,-9.7,4.148,7.222,
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,8,-7,0,0,
