Molecule ChEMBL ID,Smiles,Standard Value,IC50(nM),¦¤G, predict affinity(kcal/mol),difference,annotation
CHEMBL373930,O=C(O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50 = 58,5.80E+01,-8.8,3.49E+02,2.91E+02,
CHEMBL367825,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1cccc(Br)c1,IC50 = 1040,1.04E+03,-8,1.35E+03,3.07E+02,
CHEMBL387301,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1F)n2C1CCCCC1,IC50 = 100,1.00E+02,-8.7,4.13E+02,3.13E+02,
CHEMBL381310,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CCOC1,IC50 = 484,4.84E+02,-8.3,8.12E+02,3.28E+02,
CHEMBL201088,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccccc1,IC50 = 82,8.20E+01,-8.7,4.13E+02,3.31E+02,
CHEMBL379826,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC(N)=O)ccc3N2)c(O)c2cccnc21,IC50 = 470,4.70E+02,-8.3,8.12E+02,3.42E+02,
CHEMBL178784,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccc(O)cc3)[nH]c2c1,IC50 = 4.8,4.80E+00,-8.8,3.49E+02,3.44E+02,
CHEMBL205842,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCCCCCc3ccccc3)cc1)n2C1CCCCC1,IC50 = 1000,1.00E+03,-8,1.35E+03,3.47E+02,
CHEMBL264034,COc1ccc(CCNC(=O)c2ccc3c(c2)nc(-c2ccc(OCC(=O)NCCCN(C)C)cc2)n3C2CCCCC2)cc1OC,IC50 = 14000,1.40E+04,-6.6,1.43E+04,3.48E+02,
CHEMBL198813,O=C(O)C(=O)/C=C(\O)c1cccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)c1,IC50 = 140,1.40E+02,-8.6,4.89E+02,3.49E+02,
CHEMBL377504,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1cccc2ccccc12,IC50 = 140,1.40E+02,-8.6,4.89E+02,3.49E+02,
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 62,6.20E+01,-8.7,4.13E+02,3.51E+02,
CHEMBL373930,O=C(O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50 = 58,5.80E+01,-8.7,4.13E+02,3.55E+02,
CHEMBL212582,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cccnc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 53,5.30E+01,-8.7,4.13E+02,3.60E+02,
CHEMBL209425,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 50,5.00E+01,-8.7,4.13E+02,3.63E+02,
CHEMBL209425,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 50,5.00E+01,-8.7,4.13E+02,3.63E+02,
CHEMBL372400,CCOC(=O)c1c(NC(=O)NS(=O)(=O)N2CCc3ccccc3C2)sc2c1CCC(C)(C)C2,IC50 = 100,1.00E+02,-8.6,4.89E+02,3.89E+02,
CHEMBL209282,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccnc3)cc1)n2C1CCCCC1,IC50 = 290,2.90E+02,-8.4,6.85E+02,3.95E+02,
CHEMBL362957,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccoc3)n(CC(=O)N3CCC(N4CCC4)CC3)c2c1,IC50 = 9,9.00E+00,-8.7,4.13E+02,4.04E+02,
CHEMBL201337,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccncc1,IC50 = 61,6.10E+01,-8.6,4.89E+02,4.28E+02,
CHEMBL209796,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)[nH]c2n1,IC50 = 150,1.50E+02,-8.5,5.79E+02,4.29E+02,
CHEMBL195227,O=C(CC1CCCCC1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,IC50 = 2200,2.20E+03,-7.6,2.65E+03,4.48E+02,
CHEMBL378218,CN(C)C(=O)c1ccc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)c1,IC50 = 32,3.20E+01,-8.6,4.89E+02,4.57E+02,
CHEMBL195549,O=C(CCc1ccc(Cl)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,IC50 = 500,5.00E+02,-8.2,9.61E+02,4.61E+02,
CHEMBL378469,CN(C)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 23,2.30E+01,-8.6,4.89E+02,4.66E+02,
CHEMBL214365,CCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 21,2.10E+01,-8.6,4.89E+02,4.68E+02,
CHEMBL377813,CCN(C(C)=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 19,1.90E+01,-8.6,4.89E+02,4.70E+02,
CHEMBL366574,O=C(O)COc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1,IC50 = 19,1.90E+01,-8.6,4.89E+02,4.70E+02,
CHEMBL364942,CN(C)C(=O)Cn1c(-c2cccc(CN3CCCC(F)(F)C3)c2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,IC50 = 18,1.80E+01,-8.6,4.89E+02,4.71E+02,
CHEMBL2296936,NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 13,1.30E+01,-8.6,4.89E+02,4.76E+02,
CHEMBL369319,CN(C)C(=O)Cn1c(-c2ccc(OCc3ccccc3)cc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,IC50 = 6,6.00E+00,-8.6,4.89E+02,4.83E+02,
CHEMBL179256,O=C(O)c1ccc2c(c1)nc(-c1ccc(O)cc1F)n2C1CCCCC1,IC50 = 1.4,1.40E+00,-8.6,4.89E+02,4.87E+02,
CHEMBL361811,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1ccccc1Br,IC50 = 469,4.69E+02,-8.2,9.61E+02,4.92E+02,
CHEMBL4109922,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)C/C=C/CNC1=O,IC50 = 190,1.90E+02,-8.4,6.85E+02,4.95E+02,
CHEMBL212226,COc1cc(OCc2ccccc2-c2ccccc2)ccc1-c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,IC50 = 1100,1.10E+03,-7.9,1.60E+03,4.95E+02,
CHEMBL377889,NC(=O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50 = 69,6.90E+01,-8.5,5.79E+02,5.10E+02,
CHEMBL211213,CN(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 63,6.30E+01,-8.5,5.79E+02,5.16E+02,
CHEMBL394033,COc1ccccc1CNS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c3cccnc3n(CCC(C)C)c1=O)N2,IC50 = 57,5.70E+01,-8.5,5.79E+02,5.22E+02,
CHEMBL212417,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCC(=O)O)ccc3N2)c(O)c2cccnc21,IC50 = 57,5.70E+01,-8.5,5.79E+02,5.22E+02,
CHEMBL201385,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CCC1,IC50 = 49,4.90E+01,-8.5,5.79E+02,5.30E+02,
CHEMBL178558,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1CCCC1,IC50 = 150,1.50E+02,-8.4,6.85E+02,5.35E+02,
CHEMBL175882,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 36,3.60E+01,-8.5,5.79E+02,5.43E+02,
CHEMBL211849,CC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 18,1.80E+01,-8.5,5.79E+02,5.61E+02,
CHEMBL2296935,CC(=O)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 14,1.40E+01,-8.5,5.79E+02,5.65E+02,
CHEMBL438430,NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 13,1.30E+01,-8.5,5.79E+02,5.66E+02,
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 12,1.20E+01,-8.5,5.79E+02,5.67E+02,
CHEMBL2011266,Cc1cc2c(-c3ccc[nH]c3=O)c(C(=O)NS(=O)(=O)C3CC3)n(Cc3cc(F)ccc3F)c2cc1F,IC50 = 8,8.00E+00,-8.5,5.79E+02,5.71E+02,
CHEMBL201927,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCCCO,IC50 = 1301,1.30E+03,-7.8,1.89E+03,5.89E+02,
CHEMBL201660,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccc(Br)cc1,IC50 = 95,9.50E+01,-8.4,6.85E+02,5.90E+02,
CHEMBL383170,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccc(F)c2n1CCC1CC1,IC50 = 90,9.00E+01,-8.4,6.85E+02,5.95E+02,
CHEMBL193049,O=C(O)/C(=C/c1ccc(-c2ccccc2)o1)NC(=O)c1ccccc1,IC50 = 6700,6.70E+03,-7,7.30E+03,5.99E+02,
CHEMBL193049,O=C(O)/C(=C/c1ccc(-c2ccccc2)o1)NC(=O)c1ccccc1,IC50 = 6700,6.70E+03,-7,7.30E+03,5.99E+02,
CHEMBL194064,O=C(O)/C(=C/c1ccc(-c2ccc(Cl)cc2)o1)NC(=O)c1ccccc1,IC50 = 4600,4.60E+03,-7.2,5.21E+03,6.06E+02,
CHEMBL182462,COc1cccc(Oc2ccc(C(=O)N(c3ncc(C(=O)O)s3)C3CCCCC3)cc2)c1,IC50 = 3100,3.10E+03,-7.4,3.71E+03,6.13E+02,
CHEMBL4294791,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCCCO)c(-c3cccc(C(=O)NC(C)(C)C)c3)cc12,IC50 = 187,1.87E+02,-8.3,8.12E+02,6.25E+02,
CHEMBL3651431,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccccc5)COC4)ccc3C)c(F)c12,IC50 = 57,5.70E+01,-8.4,6.85E+02,6.28E+02,
CHEMBL201567,N#CCCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 172,1.72E+02,-8.3,8.12E+02,6.40E+02,
CHEMBL175882,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 44,4.40E+01,-8.4,6.85E+02,6.41E+02,
CHEMBL280862,N#Cc1ccc(CN(C(=O)c2ccc(Cl)cc2Cl)[C@@H](Cc2ccccc2)C(=O)O)cc1,IC50 = 8000,8.00E+03,-6.9,8.64E+03,6.43E+02,
CHEMBL370203,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccoc1,IC50 = 27,2.70E+01,-8.4,6.85E+02,6.58E+02,
CHEMBL179532,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2c1,IC50 = 26,2.60E+01,-8.4,6.85E+02,6.59E+02,
CHEMBL378469,CN(C)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 23,2.30E+01,-8.4,6.85E+02,6.62E+02,
CHEMBL175882,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 150,1.50E+02,-8.3,8.12E+02,6.62E+02,
CHEMBL195256,O=C(O)/C(=C/c1ccc(Oc2c(Cl)cccc2[N+](=O)[O-])cc1)NC(=O)c1ccccc1,IC50 = 5500,5.50E+03,-7.1,6.16E+03,6.64E+02,
CHEMBL3651433,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccccn5)COC4)c(OC)cc3C)c(F)c12,IC50 = 17,1.70E+01,-8.4,6.85E+02,6.68E+02,
CHEMBL366575,O=C(N[C@@H](Cc1c[nH]c2ccc(C3N=NN=N3)cc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,IC50 = 15,1.50E+01,-8.4,6.85E+02,6.70E+02,
CHEMBL180706,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1nccs1,IC50 = 674,6.74E+02,-8,1.35E+03,6.73E+02,
CHEMBL368589,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 < 6,6.00E+00,-8.4,6.85E+02,6.79E+02,
CHEMBL383468,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCCOc3ccccc3)cc1)n2C1CCCCC1,IC50 = 1200,1.20E+03,-7.8,1.89E+03,6.89E+02,
CHEMBL4554145,O=C(CN1C(=O)S/C(=C\c2ccc(F)cc2)C1=O)Nc1ccc(Cl)cc1,IC50 = 100,1.00E+02,-8.3,8.12E+02,7.12E+02,
CHEMBL202804,O=C(NCc1csc2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 220,2.20E+02,-8.2,9.61E+02,7.41E+02,
CHEMBL4471005,COP(=O)(Nc1nn(-c2ccc(-c3cc4nc(C)ccn4n3)cc2)cc1C(=O)O)c1ccc(C)cc1C,IC50 = 196.6,1.97E+02,-8.2,9.61E+02,7.64E+02,
CHEMBL24396,COc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 37,3.70E+01,-8.3,8.12E+02,7.75E+02,
CHEMBL386726,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCOc1ccccc1-3,IC50 = 26,2.60E+01,-8.3,8.12E+02,7.86E+02,
CHEMBL216865,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCN(CCc1ccccc1)c1ccccc1-3,IC50 = 26,2.60E+01,-8.3,8.12E+02,7.86E+02,
CHEMBL208585,CN(C)C(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 22,2.20E+01,-8.3,8.12E+02,7.90E+02,
CHEMBL411712,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCCCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 18,1.80E+01,-8.3,8.12E+02,7.94E+02,
CHEMBL379435,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCOCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50 = 14,1.40E+01,-8.3,8.12E+02,7.98E+02,
CHEMBL4279843,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC4(C)CCC4)c3)cc12,IC50 = 11,1.10E+01,-8.3,8.12E+02,8.01E+02,
CHEMBL181068,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1CCCCC1,IC50 = 150,1.50E+02,-8.2,9.61E+02,8.11E+02,
CHEMBL373140,CS(=O)(=O)N1CCN(C(=O)Cn2c(-c3ccccc3)c(C3CCCC3)c3ccc(C(=O)O)cc32)CC1,IC50  ,,-8.3,8.12E+02,8.12E+02,
CHEMBL381699,CS(=O)(=O)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 2322,2.32E+03,-7.5,3.14E+03,8.16E+02,
CHEMBL206518,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1ccccc1Cl,IC50 = 140,1.40E+02,-8.2,9.61E+02,8.21E+02,
CHEMBL179279,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1ccoc1,IC50 = 133,1.33E+02,-8.2,9.61E+02,8.28E+02,
CHEMBL368168,Cn1cccc1-c1nc2cc(C(=O)O)ccc2n1C1CCCCC1,IC50 = 1800,1.80E+03,-7.6,2.65E+03,8.48E+02,
CHEMBL179934,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1CCCCCC1,IC50 = 1040,1.04E+03,-7.8,1.89E+03,8.49E+02,
CHEMBL3121385,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@@]1(C)F,IC50 = 5310,5.31E+03,-7.1,6.16E+03,8.54E+02,
CHEMBL202164,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCCC(F)(F)F,IC50 = 106,1.06E+02,-8.2,9.61E+02,8.55E+02,
CHEMBL371635,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CC1CC1,IC50 = 78,7.80E+01,-8.2,9.61E+02,8.83E+02,
CHEMBL188307,O=C(O)c1nc(-c2cccc(OCc3ccccc3)c2)nc(O)c1O,IC50 = 1000,1.00E+03,-7.8,1.89E+03,8.89E+02,
CHEMBL192215,O=C(Cc1ccc(I)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,IC50 = 1000,1.00E+03,-7.8,1.89E+03,8.89E+02,
CHEMBL362821,CCCC(CCC)Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 2240,2.24E+03,-7.5,3.14E+03,8.96E+02,
CHEMBL192821,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccc(F)cc1F,IC50 = 230,2.30E+02,-8.1,1.14E+03,9.08E+02,
CHEMBL362243,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1=CCOC=C1,IC50 = 439,4.39E+02,-8,1.35E+03,9.08E+02,
CHEMBL368884,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)[nH]c2c1,IC50 = 48,4.80E+01,-8.2,9.61E+02,9.13E+02,
CHEMBL192269,O=C(O)/C(=C/c1ccc(Oc2ccccc2I)cc1)NC(=O)C1CC1,IC50 = 2800,2.80E+03,-7.4,3.71E+03,9.13E+02,
CHEMBL176905,O=C(O)c1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1,IC50 = 20,2.00E+01,-8.2,9.61E+02,9.41E+02,
CHEMBL215056,CN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc21,IC50 = 19,1.90E+01,-8.2,9.61E+02,9.42E+02,
CHEMBL362572,CS(=O)(=O)N1CCN(C(=O)Cn2c(-c3ccccc3)c(C3CCCCC3)c3ccc(C(=O)O)cc32)CC1,IC50 = 19,1.90E+01,-8.2,9.61E+02,9.42E+02,
CHEMBL376688,CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50 = 15,1.50E+01,-8.2,9.61E+02,9.46E+02,
CHEMBL173466,O=C(O)C(=O)Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1,IC50 = 8,8.00E+00,-8.2,9.61E+02,9.53E+02,
CHEMBL384679,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1C(F)(F)F)n2C1CCCCC1,IC50 = 930,9.30E+02,-7.8,1.89E+03,9.59E+02,
CHEMBL191661,O=C(NCCO)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1,IC50 = 2700,2.70E+03,-7.4,3.71E+03,1.01E+03,
CHEMBL214015,CCCOc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50 = 1620,1.62E+03,-7.6,2.65E+03,1.03E+03,
CHEMBL202581,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccc(F)cc21,IC50 = 554,5.54E+02,-7.9,1.60E+03,1.04E+03,
CHEMBL381318,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccc(Cl)cc3)cc1)n2C1CCCC1,IC50 = 1200,1.20E+03,-7.7,2.24E+03,1.04E+03,
CHEMBL208822,COCCOC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50 = 87,8.70E+01,-8.1,1.14E+03,1.05E+03,
CHEMBL4545438,COP(=O)(Nc1nn(-c2ccc(-c3cc4nccc(N)n4n3)cc2)cc1C(=O)O)c1ccc(C)cc1C,IC50 = 75.3,7.53E+01,-8.1,1.14E+03,1.06E+03,
CHEMBL205118,O=C(Cc1c(-c2ccccc2)[nH]c2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 280,2.80E+02,-8,1.35E+03,1.07E+03,
CHEMBL214781,COc1ccc(CCC2(C3CCCC3)CC(=O)C(Sc3nnnn3C)=C(O)O2)cc1Cl,IC50 = 280,2.80E+02,-8,1.35E+03,1.07E+03,
CHEMBL426088,O=C(Cc1ccc(Br)cc1)N/C(=C\c1ccc(Oc2ccccc2Br)cc1)C(=O)O,IC50 = 820,8.20E+02,-7.8,1.89E+03,1.07E+03,
CHEMBL4444480,COP(=O)(Nc1nc(-c2ccc(-c3cc4nc(C)cc(N)n4n3)cc2)sc1C(=O)O)c1ccc(C)cc1C,IC50 = 271.8,2.72E+02,-8,1.35E+03,1.08E+03,
CHEMBL211507,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50 = 50,5.00E+01,-8.1,1.14E+03,1.09E+03,
CHEMBL424769,NC(=O)c1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1,IC50 = 37,3.70E+01,-8.1,1.14E+03,1.10E+03,
CHEMBL385407,CN(C)C(=O)CN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc21,IC50 = 24,2.40E+01,-8.1,1.14E+03,1.11E+03,
CHEMBL2043025,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,IC50 = 240,2.40E+02,-8,1.35E+03,1.11E+03,
CHEMBL202319,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1CCC1CC1,IC50 = 13,1.30E+01,-8.1,1.14E+03,1.12E+03,
CHEMBL374567,CC(=O)N(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50 = 16,1.60E+01,-8.1,1.14E+03,1.12E+03,
CHEMBL204663,O=C(Cc1csc2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 230,2.30E+02,-8,1.35E+03,1.12E+03,
CHEMBL425915,O=C(O)/C(=C/c1cccc(-c2ccccc2Cl)n1)NC(=O)c1ccccc1,IC50 = 11000,1.10E+04,-6.7,1.21E+04,1.12E+03,
CHEMBL363199,O=C(Cn1c(-c2ccc(Cl)cc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21)NCC1CC1,IC50 = 8,8.00E+00,-8.1,1.14E+03,1.13E+03,
CHEMBL4290980,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC4(c5ncccn5)CCC4)c3)cc12,IC50 = 5,5.00E+00,-8.1,1.14E+03,1.13E+03,
CHEMBL197815,CCOC(=O)c1c(NC(=O)NS(=O)(=O)c2ccccc2C(F)(F)F)sc2c1CCC(C)(C)C2,IC50 = 200,2.00E+02,-8,1.35E+03,1.15E+03,
CHEMBL202325,C[S+]([O-])CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50 = 2537,2.54E+03,-7.4,3.71E+03,1.17E+03,
CHEMBL2092823,C[C@H]1CCCC[C@@H]1N(C(=O)c1ccc(Oc2ccccc2)cc1)c1ncc(C(=O)O)s1,IC50 = 6100,6.10E+03,-7,7.30E+03,1.20E+03,
CHEMBL179668,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1cccs1,IC50 = 125,1.25E+02,-8,1.35E+03,1.22E+03,
CHEMBL192358,O=C(O)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)C1CC2CCC1C2,IC50 = 100,1.00E+02,-8,1.35E+03,1.25E+03,
CHEMBL206793,Cc1cccc(Cl)c1CNC(=O)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50 = 90,9.00E+01,-8,1.35E+03,1.26E+03,
CHEMBL178087,O=C(O)c1ccc2c(c1)cc(-c1ccc(O)cc1)n2C1CCCCC1,IC50 = 340,3.40E+02,-7.9,1.60E+03,1.26E+03,
CHEMBL367825,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1cccc(Br)c1,IC50 = 75,7.50E+01,-8,1.35E+03,1.27E+03,
CHEMBL178126,CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21,IC50 = 59,5.90E+01,-8,1.35E+03,1.29E+03,
CHEMBL381613,CC(C)(C)[C@H]1C(O)=C(C2=NS(=O)(=O)c3ccccc3N2)C(=O)N1Cc1ccc(F)cc1,IC50 = 59,5.90E+01,-8,1.35E+03,1.29E+03,
