CHEMBL210674,,0,561.65,1,1.58,43,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NN4CCC4)ccc3N2)c(O)c2cccnc21,IC50,'=',24,nM,7.62,,,UO_0000065,13.57,0.27,6.04,4.35,0,CHEMBL865370,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL210050,,0,596.69,1,3.16,29,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50,'=',44,nM,7.36,,,UO_0000065,12.33,0.25,4.2,4.28,0,CHEMBL865371,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL378748,,0,574.68,1,2.9,33,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NC4CCCC4)ccc3N2)c(O)c2cccnc21,IC50,'=',39,nM,7.41,,,UO_0000065,12.89,0.26,4.51,4.31,0,CHEMBL865370,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL241423,,0,639.72,1,2.84,20,CNC(=O)c1ccc(NS(=O)(=O)Nc2ccc3c(c2)S(=O)(=O)N=C(c2c(O)c4cccnc4n(CCC(C)C)c2=O)N3)cc1,IC50,'=',43,nM,7.37,,,UO_0000065,11.52,0.23,4.53,3.67,0,CHEMBL865370,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL240779,,0,640.7,2,3.26,18,COC(=O)c1ccc(NS(=O)(=O)Nc2ccc3c(c2)S(=O)(=O)N=C(c2c(O)c4cccnc4n(CCC(C)C)c2=O)N3)cc1,IC50,'=',48,nM,7.32,,,UO_0000065,11.42,0.23,4.06,3.69,0,CHEMBL865370,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL379613,,0,504.55,1,0.79,48,NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3ccccc3n(NC3CCC3)c1=O)=N2,IC50,'=',0.4,nM,9.4,,,UO_0000065,18.63,0.38,8.61,5.08,0,CHEMBL865371,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL208740,,0,506.57,1,1.32,45,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(N)(=O)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',9,nM,8.05,,,UO_0000065,15.88,0.32,6.73,4.33,0,CHEMBL865370,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL209006,,0,654.73,2,3.63,44,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)N(C)C(=O)OCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50,'=',121,nM,6.92,,,UO_0000065,10.56,0.21,3.29,3.65,0,CHEMBL865370,Inhibition of HCV 1a NS5B RNA polymerase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL212094,,0,589.7,1,2.36,41,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NN4CCCCC4)ccc3N2)c(O)c2cccnc21,IC50,'=',45,nM,7.35,,,UO_0000065,12.46,0.25,4.99,4.2,0,CHEMBL865371,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
CHEMBL210158,,0,505.58,1,2.08,1,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c(O)c2cccnc21,IC50,'=',6,nM,8.22,,,UO_0000065,16.26,0.33,6.14,5.14,1,CHEMBL865371,Inhibition of HCV 1b NS5B RNA polymerase,B,BAO_0000357,single protein format,Hepatitis C virus subtype 1b,None,None,None,None,,,,CHEMBL5375,Hepatitis C virus NS5B RNA-dependent RNA polymerase,Hepatitis C virus,SINGLE PROTEIN,CHEMBL1138070,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,None
