NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
14,6,-6.4,2.16,2.667,0.968703294
14,7,-6.4,3.998,6.579,1.095774278
14,8,-6.3,2.413,3.102,1.355211041
14,9,-6.3,3.074,5.717,1.630417197
15,1,-7.8,0,0,0.98794728
15,2,-7.7,1.59,1.782,0.971418601
15,3,-7.6,1.125,1.535,0.931099853
15,4,-7.5,2.776,5.564,1.379048735
15,5,-7.4,2.347,5.053,1.111692097
15,6,-7.3,1.854,4.962,0.700722312
15,7,-7.1,2.123,5.094,0.760299914
15,8,-6.8,2.772,6.6,1.222294445
15,9,-6.7,2.948,6.728,1.023712166
16,1,-8.2,0,0,1.085838776
16,2,-7.9,1.699,2.214,1.988412644
16,3,-7.6,1.745,4.825,1.882307758
16,4,-7.4,2.096,5.069,1.028422917
16,5,-7.4,3.449,5.419,1.505855773
16,6,-7.1,4.143,5.892,1.868172273
16,7,-7.1,3.473,5.704,1.109238015
16,8,-7.1,1.763,2.213,1.107427217
16,9,-7,2.36,5.15,1.767923531
17,1,-6.9,0,0,1.205064104
17,2,-6.7,2.396,5.416,1.525337671
17,3,-6.5,2.316,6.021,0.999342957
17,4,-6.4,1.925,5.168,0.61453623
17,5,-6.4,2.663,4.209,1.433044774
17,6,-6.3,2.623,5.576,1.077497364
17,7,-6.2,2.23,4.86,1.459409106
17,8,-6.2,2.114,4.47,1.542581293
17,9,-6.2,2.176,5.336,0.907407079
18,1,-7.1,0,0,1.216208932
18,2,-6.7,2.212,5.416,1.530092351
18,3,-6.6,2.386,3.392,1.406708231
18,4,-6.6,2.442,5.951,1.403008811
18,5,-6.6,1.479,2.038,1.15968366
18,6,-6.6,1.855,4.451,1.5306005
18,7,-6.6,2.397,5.818,1.502202243
18,8,-6.5,1.972,5.139,0.92432302
18,9,-6.4,2.209,5.402,1.222869443
19,1,-7.3,0,0,0.994413606
19,2,-7,3.106,5.486,0.891495654
19,3,-6.7,3.201,5.925,1.050892777
19,4,-6.6,2.878,3.731,1.230735437
19,5,-6.5,3.124,5.901,1.282085928
19,6,-6.5,3.934,6.531,1.116264707
19,7,-6.4,2.762,5.235,1.230322687
19,8,-6.3,2.866,5.248,1.48514141
19,9,-6.3,3.191,6.058,1.471136298
20,1,-8.2,0,0,1.086228387
20,2,-7.9,1.49,1.959,1.892783911
20,3,-7.6,1.748,4.837,1.880269346
20,4,-7.6,3.421,5.272,1.644799059
20,5,-7.4,3.894,4.731,1.946972212
20,6,-7.4,2.126,5.073,1.018877444
20,7,-7.3,1.937,2.551,1.662984144
20,8,-7.1,3.772,6.214,1.553875999
20,9,-7.1,3.427,5.679,1.009112861
21,1,-6.9,0,0,1.204284812
21,2,-6.7,2.384,5.433,1.527757392
21,3,-6.6,2.478,5.796,1.501358677
21,4,-6.6,2.626,5.941,1.390415807
21,5,-6.5,2.103,5.283,1.299081013
21,6,-6.4,2.127,4.619,1.413377188
21,7,-6.4,2.807,4.199,1.178295935
21,8,-6.4,2.336,5.434,1.205484802
21,9,-6.4,2.388,3.162,1.38990618
22,1,-8.3,0,0,0.970697192
22,2,-7.7,1.894,4.845,0.776488055
22,3,-7.5,1.818,2.251,1.018340728
22,4,-7.4,1.893,4.842,0.812599455
22,5,-7.4,3.555,5.7,0.776982333
22,6,-6.7,2.042,5.049,0.703814005
22,7,-6.7,4.412,5.985,1.066982519
22,8,-6.7,4.005,6.614,1.073623237
22,9,-6.6,1.725,2.293,0.659294631
23,1,-7,0,0,1.220069813
23,2,-6.7,2.201,5.416,1.529521566
23,3,-6.7,2.359,3.331,1.39419878
23,4,-6.5,1.833,5.272,1.309396153
23,5,-6.5,2.426,6,1.394099371
23,6,-6.5,1.984,5.142,0.962783201
23,7,-6.4,2.13,5.435,1.186420819
23,8,-6.3,2.128,5.087,1.011771237
23,9,-6.3,2.112,3.219,1.476043655
24,1,-7.3,0,0,1.003153078
24,2,-7,3.107,5.491,0.894643286
24,3,-6.5,1.462,1.829,1.324360748
24,4,-6.5,3.997,6.557,1.118291428
24,5,-6.4,2.965,5.203,1.235970307
24,6,-6.2,2.493,3.235,1.077769649
24,7,-6.1,2.914,5.44,1.309473086
24,8,-6,3.683,6.478,1.159740477
24,9,-5.9,2.451,5.078,1.304791884
25,1,-8.2,0,0,1.07886321
25,2,-7.6,1.729,4.817,1.886896493
25,3,-7.5,2.091,5.032,1.010721768
25,4,-7.4,3.46,5.438,1.486846083
25,5,-7.2,3.12,5.726,1.387104654
25,6,-7.1,4.146,5.881,1.875438095
25,7,-7.1,3.399,5.617,1.112094148
25,8,-7,2.497,5.127,1.951690589
25,9,-7,4.037,6.059,1.448571785
26,1,-7.3,0,0,0.994267023
26,2,-7,3.106,5.495,0.886130679
26,3,-6.7,3.203,5.931,1.049529854
26,4,-6.5,3.097,5.92,1.192406522
26,5,-6.4,2.858,3.58,1.004076453
26,6,-6.4,2.761,5.248,1.229660496
26,7,-6.4,3.669,6.706,1.426882164
26,8,-6.3,1.559,2.089,1.52469399
26,9,-6.2,3.124,6.039,1.495511243
27,1,-7.1,0,0,1.21522072
27,2,-6.8,2.205,5.42,1.535788488
27,3,-6.6,2.48,5.928,1.480944216
27,4,-6.6,2.362,3.542,1.503361729
27,5,-6.6,2.449,5.964,1.399819957
27,6,-6.5,2.015,5.158,1.049815532
27,7,-6.4,1.923,4.698,1.419231944
27,8,-6.4,2.087,6.101,1.015007266
27,9,-6.4,1.964,4.684,1.545018537
28,1,-8.3,0,0,0.971201917
28,2,-7.9,3.828,5.937,1.477378825
28,3,-7.7,1.898,4.876,0.753382933
28,4,-7.4,1.893,4.851,0.796745265
28,5,-7.3,2.442,5.173,1.19823462
28,6,-7,1.81,2.218,0.979203465
28,7,-6.9,3.738,5.833,1.365474062
28,8,-6.9,4.199,6.994,1.198932351
28,9,-6.8,2.086,5.004,1.066488266
29,1,-7,0,0,1.222967998
29,2,-6.7,2.206,5.42,1.536746803
29,3,-6.7,2.405,3.435,1.402797383
29,4,-6.5,1.992,5.225,0.937070245
29,5,-6.5,1.864,4.392,1.528675434
29,6,-6.4,2.509,5.94,1.399746968
29,7,-6.4,2.362,5.843,1.20307359
29,8,-6.4,2.089,6.058,1.018839675
29,9,-6.3,2.15,4.925,1.618133792
30,1,-8.4,0,0,0.973425499
30,2,-7.8,1.805,4.906,0.613699444
30,3,-7.8,3.819,5.92,1.493503443
30,4,-7.4,2.092,4.916,0.920728487
30,5,-7.3,3.566,5.691,0.919460197
30,6,-7,4.227,6.61,1.059205507
30,7,-7,1.788,2.445,1.096235378
30,8,-6.9,3.736,5.792,1.488998528
30,9,-6.6,3.827,6.403,1.346187166
31,1,-7.3,0,0,0.99705869
31,2,-7,3.113,5.471,0.90561213
31,3,-6.7,1.694,2.143,1.084033536
31,4,-6.6,3.308,6.194,1.056644215
31,5,-6.6,2.935,3.891,1.227460728
31,6,-6.5,3.115,5.899,1.279273838
31,7,-6.5,1.328,1.683,1.333548726
31,8,-6.4,3.933,6.524,1.122684573
31,9,-6.3,2.435,3.855,1.041143552
32,1,-8.4,0,0,0.975095879
32,2,-7.6,3.82,6.015,1.467611023
32,3,-7.4,3.653,5.676,0.777903693
32,4,-7.3,1.93,4.883,0.623776586
32,5,-6.9,1.271,1.881,1.160625236
32,6,-6.8,4.396,5.896,1.077784994
32,7,-6.7,3.819,5.876,1.411494418
32,8,-6.7,2.255,5.004,0.995629626
32,9,-6.6,2.083,4.789,0.855291838
33,1,-8.3,0,0,1.085967702
33,2,-7.7,1.914,4.804,0.967907348
33,3,-7.4,3.829,5.933,1.384411602
33,4,-7.3,1.771,4.819,0.917817105
33,5,-7.3,4.238,6.648,1.02084323
33,6,-7,3.941,5.959,1.200728632
33,7,-7,3.603,6.279,0.895451088
33,8,-6.8,1.568,2.083,1.310543106
33,9,-6.7,3.161,5.705,1.082062606
34,1,-8,0,0,1.200316968
34,2,-7.9,2.916,5.26,1.328320066
34,3,-7.2,3.612,5.876,1.147760424
34,4,-7.1,1.878,4.174,1.275016979
34,5,-6.9,4.23,6.821,1.007457827
34,6,-6.7,3.769,6.267,1.222827452
34,7,-6.5,2.721,4.955,1.300273368
34,8,-6.4,4.264,6.784,1.068402655
34,9,-6.4,4.024,6.77,1.261982036
35,1,-7.1,0,0,1.216318394
35,2,-6.8,1.951,4.63,1.549053562
35,3,-6.6,2.458,5.911,1.47918079
35,4,-6.6,2.445,5.956,1.400598758
35,5,-6.5,1.975,5.14,0.9328864
35,6,-6.5,2.083,5.366,1.311272272
35,7,-6.5,1.88,5.279,1.320162976
35,8,-6.5,2.387,3.309,1.421488621
35,9,-6.3,2.227,5.107,1.0148837
36,1,-8.3,0,0,0.968536521
36,2,-7.9,3.843,5.946,1.462781326
36,3,-7.8,1.804,4.944,0.617239021
36,4,-7.7,1.99,2.698,1.166737076
36,5,-7.3,2.412,5.169,1.057390239
36,6,-7.2,1.702,4.884,0.594644072
36,7,-7,2.156,4.428,1.290456472
36,8,-6.5,3.784,6.117,0.760173804
36,9,-6.5,2.368,5.143,0.705553589
37,1,-8.1,0,0,1.299140935
37,2,-8,2.434,5.121,0.9393362
37,3,-7.9,1.977,4.97,1.437466614
37,4,-7.8,3.534,5.974,1.502072981
37,5,-7.7,3.567,5.266,1.097925204
37,6,-7.5,1.622,4.969,1.53537341
