NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
16,6,-7.2,3.331,3.997,1.963627802
16,7,-7.2,2.057,4.85,1.844149547
16,8,-7.2,3.347,5.733,1.408124365
16,9,-7.1,3.223,5.594,1.608224331
17,1,-6.9,0,0,1.183378351
17,2,-6.8,2.479,5.09,1.544914758
17,3,-6.7,3.316,5.653,1.479243128
17,4,-6.7,2.55,5.343,1.306649189
17,5,-6.6,1.759,2.49,1.220569634
17,6,-6.5,2.959,5.661,1.060087141
17,7,-6.3,3.031,4.072,1.217384788
17,8,-6.3,2.609,5.931,1.488521456
17,9,-6.2,2.803,5.508,1.428254874
18,1,-6.9,0,0,1.193304233
18,2,-6.9,2.105,4.925,1.309878491
18,3,-6.8,2.228,5.076,1.547456449
18,4,-6.5,2.672,4.764,1.387761324
18,5,-6.5,2.34,3.687,1.195883523
18,6,-6.4,2.324,5.323,1.196281428
18,7,-6.4,2.505,5.357,1.463494352
18,8,-6.3,2.421,5.677,1.542412596
18,9,-6.3,2.05,5.102,1.143916319
19,1,-7.4,0,0,1.185754184
19,2,-7.1,3.738,6.588,1.664695798
19,3,-7,3.633,6.363,1.057322543
19,4,-7,1.446,1.908,1.034149026
19,5,-6.9,3.704,6.028,0.925333742
19,6,-6.9,1.482,2.103,1.061184525
19,7,-6.8,2.242,4.492,1.181136115
19,8,-6.6,2.611,3.743,0.969167504
19,9,-6.6,3.714,6.231,1.240744782
20,1,-7.9,0,0,1.209612284
20,2,-7.8,1.725,2.196,2.094028796
20,3,-7.6,3.554,5.517,0.928857626
20,4,-7.4,2.241,5.054,1.219374817
20,5,-7.3,3.342,5.595,1.428535162
20,6,-7.2,3.394,4.048,1.938740843
20,7,-7.2,1.654,4.8,1.849106708
20,8,-7.1,2.745,5.372,1.517187311
20,9,-7,3.2,4.838,0.982836117
21,1,-6.9,0,0,1.183477688
21,2,-6.8,2.466,5.083,1.541831362
21,3,-6.7,3.314,5.715,1.479369821
21,4,-6.7,2.547,5.333,1.307714607
21,5,-6.6,1.861,2.793,1.275703402
21,6,-6.5,2.947,5.58,1.065672741
21,7,-6.3,2.392,5.207,1.370733426
21,8,-6.3,1.417,1.724,1.170586402
21,9,-6.3,2.662,5.578,1.447184364
22,1,-8,0,0,0.958276095
22,2,-7.8,1.637,2.18,1.142179464
22,3,-7.7,2.08,2.639,1.233428979
22,4,-7.7,3.929,5.931,0.611561049
22,5,-7.5,2.555,3.58,1.400782227
22,6,-7.4,2.084,4.871,1.266461222
