NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
16,6,-7,2.166,5.169,0.878509104
16,7,-7,3.654,6.095,1.757490039
16,8,-7,4.051,6.051,2.154649075
16,9,-6.7,3.02,3.923,0.96467916
17,1,-6.8,0,0,1.33392164
17,2,-6.5,2.223,4.714,1.170271877
17,3,-6.5,2.106,3.218,1.252348006
17,4,-6.4,2.285,3.756,1.201352917
17,5,-6.3,2.362,5.417,1.246009425
17,6,-6.3,2.254,4.93,1.427586435
17,7,-6.3,2.78,5.571,1.074691838
17,8,-6.1,1.471,2.02,1.338187773
17,9,-6,2.87,5.402,1.07363391
18,1,-7,0,0,1.330125429
18,2,-6.8,2.048,4.702,1.311296675
18,3,-6.2,1.81,2.241,1.336598879
18,4,-6.2,2.116,4.945,1.441550542
18,5,-6.2,1.363,1.873,1.522648433
18,6,-6.1,1.929,2.992,1.042662049
18,7,-6.1,1.885,2.528,1.542984989
18,8,-6,2.604,5.429,1.000206486
18,9,-6,2.426,4.86,1.276800134
19,1,-6.9,0,0,1.456340065
19,2,-6.9,2.477,4.784,1.029255845
19,3,-6.8,2.502,5.074,1.094030654
19,4,-6.8,3.631,6.307,1.030112339
19,5,-6.6,3.277,6.325,1.06092513
19,6,-6.4,3.395,6.604,1.051951994
19,7,-6.4,3.708,6.719,1.275206804
19,8,-6.3,3.394,6.552,1.335317224
19,9,-6.2,3.646,6.823,1.057575735
20,1,-7.7,0,0,1.061332851
20,2,-7.6,3.551,5.53,1.648007001
20,3,-7.5,4.281,6.287,2.231564687
20,4,-7.4,1.921,4.65,1.794861812
20,5,-7.3,2.102,2.809,2.10279564
20,6,-7.1,3.646,6.12,1.786644007
20,7,-7.1,2.254,5.205,0.900966968
20,8,-7.1,3.501,5.499,1.277658099
20,9,-6.7,4.289,6.026,1.807148773
21,1,-6.8,0,0,1.330508257
21,2,-6.5,2.231,4.702,1.172176
21,3,-6.4,2.115,3.261,1.267568094
21,4,-6.3,2.298,3.754,1.215843401
21,5,-6.3,2.804,5.534,1.069837352
21,6,-6.3,2.472,4.412,1.103941015
21,7,-6.2,2.213,2.714,1.186006492
21,8,-6.2,2.117,5.124,0.859745805
21,9,-6,2.467,5.875,0.945016195
22,1,-8.3,0,0,0.967662199
22,2,-7.8,3.81,5.861,1.115640038
22,3,-7.2,3.293,6.014,1.1004936
22,4,-7.1,2.103,4.944,0.738866514
22,5,-6.9,1.884,4.955,0.976903191
22,6,-6.7,3.265,5.822,1.164996699
22,7,-6.4,3.689,5.715,1.343726835
22,8,-6.2,4.238,6.485,1.082812985
22,9,-6,4.39,6.16,1.307033886
23,1,-7,0,0,1.344299757
23,2,-6.8,2.032,5.336,1.476110577
23,3,-6.7,2.013,4.64,1.303227914
23,4,-6.4,1.912,3.411,1.2604983
23,5,-6.4,2.228,4.551,1.101639584
23,6,-6.3,2.058,5.203,1.175245093
23,7,-6.3,2.194,5.192,1.241621379
23,8,-6.1,2.158,5.306,1.302513475
23,9,-6.1,2.635,5.796,1.072750352
24,1,-6.9,0,0,1.031632221
24,2,-6.9,0.777,1.187,1.206584333
24,3,-6.6,3.347,6.017,0.978861289
24,4,-6.6,2.482,4.779,1.262199062
24,5,-6.6,3.316,6.445,1.31156904
24,6,-6.4,3.28,6.551,1.055223256
24,7,-6.3,1.158,1.657,1.228511536
24,8,-6.3,3.746,6.822,1.055172224
24,9,-6.2,3.307,6.069,1.055952836
25,1,-7.6,0,0,1.639838861
25,2,-7.5,3.604,5.573,0.940066616
25,3,-7.4,2.632,5.523,2.023513785
25,4,-7.3,3.803,6.017,1.751315381
25,5,-7.3,1.99,2.445,2.24951117
25,6,-7.3,1.371,1.92,1.984606836
25,7,-7.1,1.547,2.029,1.415551344
25,8,-7.1,2.919,5.726,1.035790477
25,9,-7,4.084,6.278,1.914994112
26,1,-7,0,0,1.45344635
26,2,-7,2.478,4.789,1.021806336
26,3,-6.7,3.081,6.118,1.006458154
26,4,-6.6,3.443,6.439,1.306503174
26,5,-6.6,2.404,5.192,0.994219393
26,6,-6.5,3.408,6.563,1.06097128
26,7,-6.5,3.717,6.728,1.276072911
26,8,-6.4,3.434,6.551,1.556749597
26,9,-6.2,3.663,6.822,1.065191169
27,1,-7,0,0,1.333023554
27,2,-6.8,2.044,4.711,1.305397025
27,3,-6.4,2.038,5.154,1.172714588
27,4,-6.4,2.189,5.36,1.308815964
27,5,-6.3,1.837,2.965,1.290876739
27,6,-6.2,2.198,4.98,1.24337481
27,7,-6,2.428,4.145,1.407592681
27,8,-6,2.646,5.74,1.068254168
27,9,-6,2.969,5.403,1.335786989
28,1,-8.3,0,0,0.968308939
28,2,-7.8,3.805,5.878,1.125817134
28,3,-7.3,1.3,1.695,0.96023077
28,4,-7.2,3.294,6.032,1.084242131
28,5,-7,2.104,4.924,0.784702565
28,6,-7,1.86,4.996,0.622159658
28,7,-7,4.092,6.306,1.343387498
28,8,-7,1.525,2.14,1.017196332
28,9,-7,3.963,6.955,0.956371869
29,1,-7,0,0,1.331856167
29,2,-6.7,2.016,4.745,1.309584272
29,3,-6.5,1.88,3.19,1.253332482
29,4,-6.4,1.886,2.475,1.41679658
29,5,-6.4,2.042,5.155,1.175273425
29,6,-6.3,2.199,5.39,1.307693872
29,7,-6.3,3.397,5.977,1.280223541
29,8,-6.1,2.196,5.058,1.399930607
29,9,-6.1,2.485,4,1.429760659
30,1,-8.3,0,0,0.971488729
30,2,-7.8,3.786,5.838,1.143989343
30,3,-7.2,3.309,6.029,1.090264069
30,4,-7.1,2.074,4.899,0.74859403
30,5,-7,3.964,6.941,0.931428778
30,6,-6.7,2.149,5.234,0.647660233
30,7,-6.6,2.18,3.133,0.957693213
30,8,-6.6,4.943,7.355,1.057871666
30,9,-6.5,4.207,6.65,0.981976986
31,1,-6.9,0,0,1.030902429
31,2,-6.8,1.338,1.982,1.084034561
31,3,-6.7,3.625,6.225,1.038918831
31,4,-6.4,3.032,5.793,0.994737356
31,5,-6.4,3.775,6.882,1.55500731
31,6,-6.2,2.488,4.868,1.226279217
31,7,-6.1,1.488,1.832,0.550174601
31,8,-6.1,3.474,6.263,1.07287031
31,9,-6,2.228,4.997,1.238687526
32,1,-8.3,0,0,0.970600654
32,2,-7.8,3.812,5.871,1.129172224
32,3,-7.2,3.202,5.961,1.090564497
32,4,-7.1,4.15,6.263,1.301221115
32,5,-7.1,2.096,4.949,0.762507252
32,6,-7,1.894,4.976,0.710285865
32,7,-6.5,4.21,6.784,1.016917609
32,8,-6.5,4.155,6.536,1.067246139
32,9,-6.5,1.896,2.744,0.989144774
33,1,-8.1,0,0,1.010159503
33,2,-7.7,3.848,5.844,1.003218847
33,3,-7.2,1.917,4.985,0.868247337
33,4,-7.1,2.051,4.925,0.903459504
33,5,-7.1,3.273,5.978,1.008039493
33,6,-6.9,2.375,4.872,0.917708291
33,7,-6.8,1.72,2.393,1.488539187
33,8,-6.8,4.837,7.128,0.905696713
33,9,-6.7,3.939,6.972,0.987069785
34,1,-7.9,0,0,1.261291292
34,2,-7.7,2.903,5.407,1.314608053
34,3,-7.3,4.025,6.21,1.343802896
34,4,-7,1.589,2.303,1.582587494
34,5,-6.7,4.386,6.665,1.33597017
34,6,-6.7,4.469,6.447,1.347661682
34,7,-6.6,1.352,1.6,1.246128708
34,8,-6.6,3.882,6.067,1.317762623
34,9,-6.5,3.48,5.849,1.454755881
35,1,-7,0,0,1.333919914
35,2,-6.7,2.013,4.716,1.187895803
35,3,-6.4,1.908,3.271,1.25037963
35,4,-6.3,2.036,5.154,1.172058231
35,5,-6.3,2.224,4.461,1.096539079
35,6,-6.1,2.142,5.22,1.160119504
35,7,-6.1,2.135,3.468,1.234258187
35,8,-6,2.545,5.447,1.115740197
35,9,-5.9,1.934,2.74,1.452340316
36,1,-8.3,0,0,0.966084967
36,2,-7.8,3.816,5.885,1.125978173
36,3,-7.1,2.103,4.946,0.739516344
36,4,-7.1,1.885,5.045,0.653868875
36,5,-7,4.101,6.323,1.345734592
36,6,-6.9,3.962,6.887,0.760770779
36,7,-6.6,4.316,6.755,0.847682956
36,8,-6.4,3.706,5.707,1.338425343
36,9,-6.3,4.182,6.297,1.366806593
37,1,-8.1,0,0,1.367401839
37,2,-7.7,3.393,4.674,1.537886666
37,3,-7.6,1.339,1.721,1.530897733
37,4,-7.5,3.883,5.951,1.376450287
37,5,-7.4,1.552,2.369,1.232270895
37,6,-7.3,3.556,5.545,1.336921281
37,7,-7.3,4.052,7.052,1.521441587
37,8,-7.2,4.211,6.735,1.43845334
37,9,-7.1,4.087,6.986,1.306579435
38,1,-7.8,0,0,1.416384836
38,2,-7.7,3.453,4.959,1.548424828
38,3,-7.6,4.078,7.058,1.427101133
38,4,-7.3,4.177,6.735,1.477346723
38,5,-7.2,4.433,7.134,1.466340149
38,6,-7.2,1.119,1.636,1.640818069
38,7,-7.1,1.487,2.31,0.886808633
38,8,-7,4.333,7.208,1.566914388
38,9,-7,4.126,6.761,1.266257892
39,1,-8.1,0,0,1.417039396
39,2,-7.6,4.271,7.149,1.4717389
39,3,-7.3,4.389,6.911,1.355946756
39,4,-7.3,3.346,6.336,1.159915459
39,5,-7.2,3.61,5.679,1.320584512
39,6,-7.2,4.651,7.286,1.416207105
39,7,-7.1,4.625,7.353,1.334702499
39,8,-7.1,4.619,7.707,1.40612455
39,9,-7.1,4.249,6.545,1.416836598
40,1,-8.5,0,0,1.118975453
40,2,-7.8,3.436,6.004,1.02426316
40,3,-7.5,2.52,5.489,0.949245452
40,4,-7.5,4.26,6.496,1.110982801
40,5,-7.2,1.8,2.414,1.365687018
40,6,-7.1,2.662,5.052,1.144063709
40,7,-6.9,3.966,6.274,0.963812508
40,8,-6.9,3.904,5.928,1.376203977
40,9,-6.7,4.055,6.403,0.988779386
41,1,-8.4,0,0,1.289129951
41,2,-8.2,2.651,5.221,1.092221207
41,3,-7.6,4.188,6.995,1.243143645
41,4,-7.6,3.788,6.063,1.088228307
41,5,-7.4,4.429,7.001,1.217316301
41,6,-7.2,4.003,7.355,1.41664981
41,7,-7.1,4.079,7.039,1.397099929
41,8,-7.1,4.477,6.633,1.202511994
41,9,-6.9,3.405,6.128,1.423301446
42,1,-8.2,0,0,1.71369682
42,2,-8,3.468,4.812,1.165339276
42,3,-8,1.332,1.765,1.561676644
42,4,-7.7,4.055,6.951,0.761075722
42,5,-7.6,3.734,5.628,1.557204908
42,6,-7.5,3.793,5.943,0.737469818
42,7,-7.5,2.954,5.644,1.091349435
42,8,-7.4,3.788,5.674,0.870949734
42,9,-7.3,4.071,6.578,1.141470763
43,1,-8,0,0,1.504833049
43,2,-7.7,3.527,4.878,1.444435556
43,3,-7.7,4.134,6.665,1.245118569
43,4,-7.6,1.397,2.27,1.089141101
43,5,-7.5,4.007,7.053,1.361913229
43,6,-7.5,1.409,2.135,1.461868729
43,7,-7.4,4.093,6.977,1.188123239
43,8,-7.3,3.568,5.373,1.320860244
43,9,-7.2,4.244,6.704,1.335804015
44,1,-8,0,0,1.36325852
44,2,-7.5,3.484,5.026,1.530130942
44,3,-7.5,4.234,7.392,1.413294872
44,4,-7.4,4.115,7.231,1.346480792
44,5,-7.3,3.61,5.76,1.525575747
44,6,-7.3,4.059,6.503,1.438569779
44,7,-7.3,3.099,6.321,1.134658223
44,8,-7.2,4.426,7.32,1.561424019
44,9,-7.1,4.228,6.463,1.442540484
45,1,-7.8,0,0,1.230098658
45,2,-7.4,0.833,1.124,1.343730974
45,3,-7.4,4.36,7.442,1.203726346
45,4,-7.3,4.328,7.631,1.456010871
45,5,-7.3,4.164,7.109,1.302516871
45,6,-7.3,3.601,4.95,1.656233693
45,7,-7.2,4.365,6.839,1.53417027
45,8,-7.1,4.282,6.775,1.606824156
45,9,-6.9,3.206,6.161,0.993489389
46,1,-8.4,0,0,1.322125992
46,2,-8.3,2.811,5.351,1.285399597
46,3,-8.1,2.758,4.998,1.07987035
46,4,-7.6,4.765,6.918,1.134157111
46,5,-7.2,3.359,5.611,1.208817748
46,6,-7.1,4.254,7.154,1.207150526
46,7,-7.1,4.997,6.996,1.240480067
