NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
16,6,-7.3,2.446,3.334,1.942681105
16,7,-7.2,2.17,4.857,1.880378566
16,8,-7.1,3.293,3.95,2.009174713
16,9,-7,2.294,3.059,1.410023156
17,1,-7.1,0,0,1.24598374
17,2,-6.8,1.88,2.876,1.180810256
17,3,-6.7,2.77,6.269,1.311937757
17,4,-6.7,2.576,5.273,1.388270086
17,5,-6.4,2.868,6.067,1.243557344
17,6,-6.4,3.31,4.533,1.473290829
17,7,-6.2,2.351,4.693,1.463492994
17,8,-6.2,2.417,4.696,0.952973939
17,9,-6.1,1.767,2.424,1.074341095
18,1,-7.3,0,0,1.256412665
18,2,-7,2.619,6.357,1.309856196
18,3,-6.9,1.979,3.543,1.202510773
18,4,-6.6,2.401,5.241,1.359322718
18,5,-6.4,2.604,5.667,1.10831994
18,6,-6.2,2.633,4.841,1.261545324
18,7,-6.2,2.493,5.916,1.394376688
18,8,-6.2,2.584,4.781,0.898599872
18,9,-6.2,3.156,6.408,1.442870416
19,1,-7.2,0,0,1.1120326
19,2,-7,3.736,6.64,1.6799377
19,3,-7,2.019,4.019,0.699270884
19,4,-6.9,2.248,4.566,1.151435651
19,5,-6.9,1.617,2.325,1.113346072
19,6,-6.7,2.618,3.766,1.221830087
19,7,-6.7,2.801,5.25,1.204274782
19,8,-6.6,2.974,5.44,1.060524958
19,9,-6.6,3.655,6.199,1.234197745
20,1,-7.9,0,0,1.187107587
20,2,-7.8,3.481,5.443,0.93192172
20,3,-7.5,2.13,5.056,1.2167197
20,4,-7.3,3.578,5.906,1.472851
20,5,-7.2,1.741,4.8,1.848571035
20,6,-7.1,4.05,5.882,1.899357578
20,7,-7.1,3.297,3.918,2.001932667
20,8,-7,1.929,2.864,2.005317717
20,9,-7,3.288,6.034,1.881764792
21,1,-7.1,0,0,1.245658892
21,2,-6.9,2.21,3.412,1.194392593
21,3,-6.7,2.813,6.379,1.293022398
21,4,-6.6,2.635,5.275,1.339075481
21,5,-6.6,3.317,4.542,1.488286247
21,6,-6.4,2.528,4.845,1.465121785
21,7,-6.3,1.884,2.445,1.456830286
21,8,-6.3,3.513,5.981,1.226960887
21,9,-6.2,2.659,5.829,1.431083167
22,1,-7.9,0,0,0.946381162
22,2,-7.6,3.86,5.849,0.58719149
22,3,-7.6,1.703,2.25,1.159048719
22,4,-7.3,2.151,4.943,1.258379473
22,5,-7.2,3.607,5.838,1.164362497
22,6,-6.7,4.999,6.518,0.71734584
22,7,-6.7,4.02,6.142,0.523241071
22,8,-6.6,4.438,5.621,0.785229156
22,9,-6.6,4.253,6.463,1.314149399
23,1,-7.2,0,0,1.250676427
23,2,-7.1,1.968,3.505,1.202963247
23,3,-7,2.623,6.333,1.317057299
23,4,-6.7,2.708,5.197,1.553926298
23,5,-6.5,1.801,2.459,1.462447961
23,6,-6.4,2.354,3.736,1.349932184
23,7,-6.4,2.76,6.246,1.210523175
23,8,-6.3,2.69,3.783,1.255615871
23,9,-6.3,1.786,2.626,1.415697012
24,1,-7.3,0,0,1.192040926
24,2,-7,2.029,4.094,0.705344877
24,3,-6.9,2.272,4.579,1.16695012
24,4,-6.9,1.563,2.378,1.106916505
24,5,-6.9,3.691,6.54,1.677018773
24,6,-6.9,3.344,6.377,1.061692701
24,7,-6.8,3.652,6.378,1.09731541
24,8,-6.7,2.751,3.98,1.213188692
24,9,-6.7,2.79,5.192,1.207505579
25,1,-7.8,0,0,1.178844669
25,2,-7.8,3.478,5.454,0.92490139
25,3,-7.6,1.782,2.334,2.132352817
25,4,-7.5,2.127,5.094,1.325605569
25,5,-7.4,3.068,4.701,1.254825632
25,6,-7.3,3.994,5.694,2.046181939
25,7,-7.2,3.437,6.523,2.326294971
25,8,-7,3.365,6.076,1.833132284
25,9,-7,3.752,4.593,1.933874774
26,1,-7.4,0,0,1.192293858
26,2,-7.1,3.705,6.564,1.675768312
26,3,-6.9,1.561,2.37,1.047619304
26,4,-6.9,2.299,4.603,1.143778833
26,5,-6.9,3.331,6.367,1.061364319
26,6,-6.8,3.65,6.381,1.061933773
26,7,-6.8,2.445,4.631,1.248600894
26,8,-6.6,2.561,3.535,0.928902878
26,9,-6.6,3.684,6.1,0.932004258
27,1,-7.3,0,0,1.255342026
27,2,-7.1,1.942,3.487,1.196093877
27,3,-7,2.618,6.325,1.324177466
27,4,-6.8,2.324,5.274,1.392164008
27,5,-6.6,2.613,5.877,1.199186455
27,6,-6.5,2.324,5.827,1.257154483
27,7,-6.4,3.525,5.986,1.226866491
27,8,-6.3,3.246,4.522,1.49316697
27,9,-6.3,2.658,6.079,1.551285954
28,1,-7.8,0,0,0.944490533
28,2,-7.6,3.796,5.794,0.592581052
28,3,-7.6,1.698,2.234,1.153378712
28,4,-7.4,4.116,5.872,0.847737898
28,5,-7.3,2.126,4.92,1.252839313
28,6,-7.1,3.017,5.666,1.341986448
28,7,-7,3.665,5.798,0.954911936
28,8,-6.9,2.608,3.817,1.245458729
28,9,-6.8,2.317,3.172,1.218293344
29,1,-7.3,0,0,1.251691928
29,2,-7,1.953,3.467,1.195172768
29,3,-7,2.626,6.358,1.306735615
29,4,-6.7,2.709,5.192,1.555978582
29,5,-6.6,2.408,5.258,1.372408542
29,6,-6.5,3.258,4.503,1.493524844
29,7,-6.4,2.511,5.845,1.474983256
29,8,-6.2,2.634,4.845,1.281136692
29,9,-6.2,2.653,5.902,1.445965802
30,1,-7.8,0,0,0.948268825
30,2,-7.7,3.84,5.872,0.584580042
30,3,-7.6,3.871,5.845,0.621968489
30,4,-7.6,1.651,2.216,1.151547919
30,5,-7.3,2.162,4.958,1.236304347
30,6,-7.2,3.625,5.891,1.062156054
30,7,-7.1,2.637,3.66,1.430887602
30,8,-7,4.926,7.099,1.248873847
30,9,-6.9,3.062,4.25,1.206585848
31,1,-7.3,0,0,1.086996047
31,2,-7,2.031,4.013,0.703683581
31,3,-6.9,3.741,6.599,1.687902129
31,4,-6.9,1.608,2.314,1.108666031
31,5,-6.8,2.279,4.54,1.142732419
31,6,-6.8,3.636,6.344,1.082906923
31,7,-6.7,2.806,5.18,0.940285105
31,8,-6.6,3.587,6.193,1.347113028
31,9,-6.6,3.061,5.44,0.722916654
32,1,-7.9,0,0,1.061235916
32,2,-7.7,3.842,5.845,0.589449616
32,3,-7.7,1.662,2.157,1.149225897
32,4,-7.3,2.125,5.087,1.304724643
32,5,-7.3,1.767,2.406,1.210974098
32,6,-7.1,4.231,6.007,0.43449047
32,7,-6.7,3.212,5.531,1.37477473
32,8,-6.7,2.969,3.975,1.206974995
32,9,-6.7,4.893,6.462,1.013944741
33,1,-7.9,0,0,0.996201315
33,2,-7.5,1.427,1.653,1.086912233
33,3,-7.4,4.097,5.798,0.811070541
33,4,-7.4,2.018,2.514,1.10649083
33,5,-7.3,2.396,4.92,1.193226015
33,6,-7.2,3.619,5.845,1.301704382
33,7,-7.1,4.94,7.071,1.366207498
33,8,-6.8,3.929,4.837,0.854658212
33,9,-6.6,5.136,6.798,0.822576777
34,1,-8.2,0,0,1.293783102
34,2,-7.9,1.468,1.737,1.172175332
34,3,-7.6,4.577,6.824,1.380747508
34,4,-7.3,2.919,5.563,1.325400566
34,5,-7.3,2.014,4.412,1.345779074
34,6,-7.2,2.168,2.859,1.035552071
34,7,-7.2,2.083,2.716,1.476659179
34,8,-7.2,4.556,6.19,1.103444343
34,9,-6.9,4.735,6.253,0.556548847
35,1,-7.2,0,0,1.252606158
35,2,-7.1,1.941,3.51,1.195827341
35,3,-7,2.624,6.325,1.317086688
35,4,-6.5,2.599,5.83,1.206600923
35,5,-6.4,2.36,5.766,1.249178446
35,6,-6.4,3.253,4.574,1.499731045
35,7,-6.4,2.932,6.668,1.283910755
35,8,-6.3,2.631,5.741,1.116096965
35,9,-6.3,1.992,2.585,1.306367326
36,1,-7.8,0,0,0.945174231
36,2,-7.6,3.836,5.842,0.588957205
36,3,-7.6,1.712,2.266,1.157800533
36,4,-7.2,2.127,4.926,1.237616995
36,5,-7.1,2.487,3.471,1.211523982
36,6,-7.1,4.447,6.274,0.570079312
36,7,-7,4.875,7.04,1.256595347
36,8,-7,3.589,5.914,1.050845189
36,9,-6.8,4.572,7.028,1.0376089
37,1,-7.4,0,0,1.193102267
37,2,-7.4,3.003,5.5,1.335196629
37,3,-7.1,3.903,6.029,1.187512659
37,4,-7,3.36,6.295,1.040386901
37,5,-6.9,3.46,6.25,1.565366619
37,6,-6.7,4.018,6.077,1.423456041
37,7,-6.7,1.818,2.436,1.095438103
37,8,-6.7,4.646,7.123,1.035957011
37,9,-6.7,2.358,3.331,1.204986663
38,1,-7.2,0,0,1.07210378
38,2,-7.1,2.006,5.006,1.417247535
38,3,-7,2.201,4.938,1.327867176
38,4,-7,3.511,6.481,1.259402257
38,5,-7,2.821,4.608,1.326731544
38,6,-6.8,1.97,3.385,1.193601259
38,7,-6.7,2.482,4.575,1.423370732
38,8,-6.7,1.783,4.437,1.552731501
38,9,-6.7,4.157,7.226,1.570729924
39,1,-7.7,0,0,0.941614644
39,2,-7.6,2.135,4.911,1.449910748
39,3,-7.6,4.361,7.223,1.489598515
39,4,-7.4,1.903,4.635,0.998590045
39,5,-7.4,2.334,4.541,1.026907767
39,6,-7.2,4.25,6.687,1.383825608
39,7,-7.2,2.865,4.838,0.810969086
39,8,-7.2,1.682,2.249,1.185697926
39,9,-7,2.131,5.093,1.143414712
40,1,-7.7,0,0,0.919347089
40,2,-7.7,3.573,6.055,1.365187286
40,3,-7.7,1.257,1.326,0.732456581
40,4,-7.4,1.311,1.735,0.806219767
40,5,-7.3,4.469,6.818,1.423137383
40,6,-7.2,3.815,5.95,1.136378452
40,7,-7,2.778,5.221,1.161015959
40,8,-6.9,4.855,7.378,1.435089972
40,9,-6.9,3.527,4.633,1.064447758
41,1,-8,0,0,1.079153201
41,2,-7.9,4.162,6.562,1.114735379
41,3,-7.5,4.051,7.251,1.199770082
41,4,-7.4,1.426,2.21,1.271629403
41,5,-7.4,1.957,4.878,1.137780449
41,6,-7.4,3.874,5.951,1.343761002
41,7,-6.9,3.33,6.388,1.018914113
41,8,-6.9,3.885,7.179,1.199793071
41,9,-6.9,2.392,5.4,1.339290437
42,1,-7.8,0,0,1.321278146
42,2,-7.7,1.841,4.682,0.869137016
42,3,-7.5,3.993,6.077,1.197158824
42,4,-7.3,3.399,5.095,1.351344081
42,5,-7.3,3.118,4.434,1.082653074
42,6,-7.2,3.573,5.735,1.433266
42,7,-7.2,4.138,6.44,1.354999073
42,8,-7.1,4.377,6.913,1.056959393
42,9,-7.1,2.498,3.878,1.066150762
43,1,-7.4,0,0,1.381025533
43,2,-7.3,3.784,5.918,1.175197344
43,3,-7.3,3.35,5.835,1.212396573
43,4,-6.8,3.474,6.252,1.268088595
43,5,-6.8,2.505,4.989,0.962156422
43,6,-6.8,1.732,2.582,1.277326841
43,7,-6.7,3.354,5.433,1.320936033
43,8,-6.6,4.267,7.14,1.424155172
43,9,-6.5,3.556,6.324,1.15385557
44,1,-7.2,0,0,0.984526161
44,2,-7.1,2.259,3.842,1.395395979
44,3,-7.1,2.206,4.905,1.413099937
44,4,-7,1.992,4.977,1.344170501
44,5,-7,3.467,6.45,0.993314333
44,6,-6.9,1.988,3.719,1.073166263
44,7,-6.9,2.832,4.649,1.536221058
44,8,-6.8,2.489,4.916,1.055126932
44,9,-6.7,4.264,6.67,1.39811938
45,1,-7.2,0,0,1.456864409
45,2,-7.1,4.361,6.783,1.361256649
45,3,-7,4.29,7.309,1.234407631
45,4,-7,4.162,6.742,1.214165667
45,5,-6.9,4.099,6.986,0.907752906
45,6,-6.7,1.492,2.126,1.736395176
45,7,-6.6,4.146,6.431,1.073563507
45,8,-6.4,1.572,2.153,0.912969703
45,9,-6.4,2.646,3.764,1.530297027
46,1,-8.6,0,0,0.965828582
46,2,-8,0.754,1.424,1.067755284
46,3,-7.8,4.057,6.927,1.028959566
46,4,-7.7,4.562,6.686,1.323657307
46,5,-7.7,4.231,6.827,1.261750124
46,6,-7.5,2.94,4.827,1.300620508
46,7,-7.3,1.95,2.692,0.942481834
46,8,-7.1,3.549,6.095,1.211169551
46,9,-7.1,4.365,7.395,1.149694418
47,1,-7.7,0,0,0.921209209
47,2,-7.7,3.572,6.039,1.365515438
47,3,-7.7,1.347,1.786,0.843159258
47,4,-7.3,4.467,6.812,1.4209768
47,5,-7.3,1.362,1.98,0.795743551
47,6,-7.1,2.844,5.362,1.107051016
47,7,-7.1,3.966,5.947,0.992733782
47,8,-6.9,4.73,6.471,1.029402789
47,9,-6.8,3.954,6.138,1.075110197
48,1,-8.3,0,0,0.955279257
48,2,-7.9,4.514,6.705,1.329138337
48,3,-7.7,4.339,7.283,1.161475481
48,4,-7.4,4.398,6.683,1.395980736
48,5,-7.2,4.596,6.25,0.805116321
48,6,-7.2,3.691,6.399,1.006388799
48,7,-7.1,2.174,4.999,1.37607647
48,8,-6.9,2.982,3.972,1.079912946
48,9,-6.8,3.606,6.357,1.425115871
49,1,-7.8,0,0,0.942049128
49,2,-7.6,3.83,5.84,0.590549575
49,3,-7.6,1.661,2.236,1.154830436
49,4,-7.3,4.352,6.041,0.527394538
49,5,-6.9,3.25,4.581,1.217371479
49,6,-6.7,4.031,7.188,1.322814786
49,7,-6.7,4.844,6.372,1.014416473
49,8,-6.6,3.943,6.125,0.529301879
49,9,-6.4,4.204,6.487,1.351934624
50,1,-8,0,0,1.01306767
50,2,-7.5,1.715,2.207,1.032641026
50,3,-7.4,4.074,5.805,0.817390997
50,4,-7.4,3.659,5.828,1.225602446
50,5,-7.3,2.438,4.912,1.179917941
50,6,-6.7,4.228,7.198,1.370578281
50,7,-6.7,5.013,6.496,0.741720786
50,8,-6.6,3.532,4.364,0.981246509
50,9,-6.6,4.517,6.839,1.279402079
51,1,-7.8,0,0,0.772291344
51,2,-7.7,3.849,5.844,0.802656411
51,3,-7.7,1.714,2.207,1.02295916
51,4,-7.5,4.054,5.835,0.88388713
51,5,-7.4,2.691,3.811,1.320435317
51,6,-7.3,2.392,4.974,1.378063247
51,7,-7.1,3.623,5.905,1.19495463
51,8,-6.9,3.814,6.343,1.503909352
51,9,-6.8,2.389,3.152,1.043597477
52,1,-7.4,0,0,1.186831718
52,2,-7.4,2.956,5.466,1.333352293
52,3,-7.1,3.88,5.966,1.278694053
52,4,-7,3.558,6.305,1.205726105
52,5,-7,3.366,6.284,0.989613971
52,6,-6.9,3.407,6.238,1.550844336
52,7,-6.9,3.573,5.82,1.290760326
52,8,-6.9,4.323,6.024,1.319241378
52,9,-6.8,3.433,6.666,1.033599043
53,1,-8.8,0,0,1.174776475
53,2,-8.8,3.874,6.348,1.262937781
53,3,-8.5,1.223,1.875,1.022140887
53,4,-8.4,2.977,5.614,1.663929274
53,5,-8.2,3.846,7.364,1.500491903
53,6,-8.2,1.905,2.305,1.095430068
53,7,-8.1,2.591,3.597,1.290696687
53,8,-8,1.695,2.109,1.549434598
53,9,-8,1.543,2.041,1.174966856
54,1,-7.9,0,0,1.556688659
54,2,-7.7,1.999,2.445,1.35698298
54,3,-7.6,3.271,4.613,1.022835663
54,4,-7.5,3.067,3.998,1.413675525
54,5,-7.4,4.426,6.232,1.229808536
54,6,-7.4,3.937,5.684,1.057210596
54,7,-7.2,3.067,4.199,1.041679444
54,8,-7.1,3.492,4.578,1.08955105
54,9,-7.1,2.085,3.56,1.337256872
55,1,-7.2,0,0,1.017372849
55,2,-7.1,2.193,4.974,1.397212184
55,3,-6.9,4.251,6.684,1.428361218
55,4,-6.8,1.742,4.523,1.451516782
55,5,-6.7,3.408,5.063,1.052735645
55,6,-6.7,0.903,1.539,1.211050425
55,7,-6.4,3.33,5.384,1.178504135
55,8,-6.3,2.142,4.972,0.950432829
55,9,-6.2,2.41,4.905,1.209436912
56,1,-8.2,0,0,1.538029517
56,2,-8.1,2.061,4.077,1.187738313
56,3,-8,3.042,4.849,1.475839954
56,4,-7.8,4.206,7.043,1.333282514
56,5,-7.7,4.503,6.998,1.599776638
56,6,-7.7,2.743,4.169,1.780098129
56,7,-7.6,1.896,2.665,1.817916714
56,8,-7.6,3.425,4.954,1.33283191
56,9,-7.5,4.59,7.441,1.549188579
57,1,-7.6,0,0,1.109101675
