NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
16,7,-7.1,4.341,5.673,1.95528306
16,8,-7.1,3.693,4.555,2.043133818
16,9,-7.1,3.344,4.983,1.649872194
17,1,-7.1,0,0,1.19802802
17,2,-6.8,1.927,5.187,0.584179763
17,3,-6.7,2.419,5.377,1.530616935
17,4,-6.6,2.398,6.076,1.001505929
17,5,-6.6,2.094,5.242,1.316044511
17,6,-6.5,2.266,4.755,1.562798392
17,7,-6.4,2.221,4.717,1.018343608
17,8,-6.4,2.337,6.086,1.010702816
17,9,-6.3,2.844,6.091,1.234078962
18,1,-7.3,0,0,1.222552024
18,2,-7,1.877,5.213,0.59557169
18,3,-6.7,0.965,1.508,1.423758099
18,4,-6.7,1.795,5.269,1.319649719
18,5,-6.6,1.913,4.488,1.437709249
18,6,-6.6,2.284,5.969,1.395168218
18,7,-6.5,1.686,2.168,1.247709375
18,8,-6.5,2.313,5.32,1.705966383
18,9,-6.5,1.966,5.147,1.049886208
19,1,-7.4,0,0,1.010094226
19,2,-7,2.353,4.932,1.456155061
19,3,-7,3.021,5.424,0.884310435
19,4,-6.9,3.023,5.544,1.30437341
19,5,-6.9,3.287,5.979,1.046299177
19,6,-6.8,3.047,5.872,1.195856627
19,7,-6.5,2.536,5.079,1.23849803
19,8,-6.5,3.917,6.507,1.029818146
19,9,-6.4,3.713,6.92,1.062219333
20,1,-8.4,0,0,1.098726584
20,2,-8.3,1.452,2.043,1.955032836
20,3,-8.2,1.767,4.895,1.883033315
20,4,-8,1.067,1.251,1.070659664
20,5,-7.5,1.988,5.038,0.964403297
20,6,-7.4,3.803,6.149,1.458453638
20,7,-7.3,3.259,4.987,1.78519575
20,8,-7.1,2.146,5.156,1.087689617
20,9,-7.1,4.225,5.58,1.953810507
21,1,-7.1,0,0,1.197910735
21,2,-6.8,1.92,5.192,0.588013586
21,3,-6.7,2.413,5.381,1.535807663
21,4,-6.6,2.085,5.239,1.31234205
21,5,-6.6,2.326,6.05,0.996260942
21,6,-6.6,2.484,5.9,1.391633063
21,7,-6.4,2.31,4.948,1.365486562
21,8,-6.4,2.69,6.182,1.307902627
21,9,-6.4,2.548,4.95,1.473413627
22,1,-8.8,0,0,1.091042953
22,2,-7.9,1.875,5.025,0.550700667
22,3,-7.2,3.939,5.97,1.365292364
22,4,-7.1,3.743,6.297,1.124520344
22,5,-7.1,1.627,2.003,0.698598937
22,6,-7,3.627,5.723,0.778127589
22,7,-6.9,1.775,4.835,0.625482373
22,8,-6.6,3.857,6.416,0.96912439
22,9,-6.5,4.407,6.629,1.033275849
23,1,-7.3,0,0,1.210158283
23,2,-6.8,2.058,5.264,1.09510218
23,3,-6.7,1.846,5.257,1.327255556
23,4,-6.6,2.292,5.192,1.517258911
23,5,-6.6,2.211,5.357,1.421523017
23,6,-6.6,2.306,5.939,1.403656946
23,7,-6.5,2.039,4.833,0.99241467
23,8,-6.4,2.145,6.098,1.000693556
23,9,-6.4,2.118,4.425,1.449602073
24,1,-7.4,0,0,1.019590517
24,2,-7,3.03,5.276,1.173432824
24,3,-7,2.341,4.938,1.45080269
24,4,-6.9,3.299,5.994,1.047418514
24,5,-6.8,3.064,5.905,1.193453625
24,6,-6.5,2.547,5.118,1.239572857
24,7,-6.5,3.918,6.522,1.12125574
24,8,-6.4,2.825,5.292,1.220305633
24,9,-6.4,3.738,6.737,1.628046811
25,1,-8.5,0,0,1.096952242
25,2,-8.2,1.512,2.048,1.996137262
25,3,-8,1.909,4.849,2.155497346
25,4,-7.7,1.932,5.077,0.713110783
25,5,-7.3,3.774,6.145,1.477548506
25,6,-7.2,3.732,4.551,1.900649764
25,7,-7.2,2.903,5.823,1.163948617
25,8,-7,2.393,5.263,1.11330351
25,9,-6.8,3.586,5.718,2.179783314
26,1,-7.4,0,0,1.025736296
26,2,-7.1,0.783,1.415,1.184682674
26,3,-7,2.869,5.09,1.283929136
26,4,-7,3.284,5.971,1.043636925
26,5,-6.9,2.697,3.431,1.22603588
26,6,-6.8,1.04,1.452,1.345229321
26,7,-6.6,3.451,6.255,1.021695332
26,8,-6.6,3.649,6.382,1.28241361
26,9,-6.6,3.096,5.695,1.195580842
27,1,-7.3,0,0,1.218090069
27,2,-6.8,1.911,5.195,0.641373383
27,3,-6.7,1.829,5.225,1.340533194
27,4,-6.6,2.134,4.925,1.455169585
27,5,-6.5,1.987,4.979,1.555344129
27,6,-6.4,2.109,4.439,1.444643513
27,7,-6.4,2.44,3.534,1.312131467
27,8,-6.3,1.925,5.092,1.128842344
27,9,-6.2,2.232,6.149,1.280219379
28,1,-8.8,0,0,1.091283278
28,2,-7.9,1.871,5.058,0.55534963
28,3,-7.6,3.845,5.943,1.485518908
28,4,-7.5,4.246,6.551,1.339344271
28,5,-7.3,1.85,4.801,0.793610161
28,6,-7.1,3.642,5.712,0.768449111
28,7,-7,4.035,6.514,0.980900312
28,8,-6.7,4.264,7.127,1.215608817
28,9,-6.6,3.925,6.305,1.335488592
29,1,-7.3,0,0,1.218674661
29,2,-7,1.898,5.29,0.597197589
29,3,-6.7,1.83,5.238,1.318075377
29,4,-6.7,2.2,5.368,1.537687182
29,5,-6.6,2.284,5.991,1.39730087
29,6,-6.5,2.112,6.051,0.995534272
29,7,-6.5,2.036,4.825,1.002892255
29,8,-6.4,2.024,4.93,1.338218166
29,9,-6.4,2.512,4.969,1.480896413
30,1,-8.8,0,0,1.092296106
30,2,-7.9,2.092,4.953,1.093188628
30,3,-7.6,3.84,5.929,1.493402731
30,4,-7.5,1.822,4.796,0.610573612
30,5,-7.4,4.447,6.703,1.506900233
30,6,-7.1,3.757,5.752,0.837591658
30,7,-7,4.107,6.624,0.924812979
30,8,-6.8,3.877,5.989,1.514310557
30,9,-6.7,3.954,6.569,1.135514442
31,1,-7.3,0,0,1.011056687
31,2,-7,3.034,5.276,1.175983302
31,3,-6.9,3.277,5.964,1.043220774
31,4,-6.8,3.104,5.567,0.971449547
31,5,-6.7,3.144,5.766,1.459396855
31,6,-6.6,3.689,6.441,1.265830346
31,7,-6.5,2.421,5.027,1.241408757
31,8,-6.4,3.884,6.514,1.104253946
31,9,-6.4,3.981,5.827,0.962139174
32,1,-8.8,0,0,0.95536948
32,2,-7.9,1.872,5.07,0.539220185
32,3,-7.5,1.05,1.314,1.230552358
32,4,-7.4,4.187,6.474,1.342381213
32,5,-7.3,1.821,4.818,0.718261747
32,6,-6.9,3.759,5.944,0.941466416
32,7,-6.6,4.18,7.182,1.206265076
32,8,-6.4,3.058,5.687,1.039875466
32,9,-6.3,1.764,2.111,0.986475932
33,1,-8.7,0,0,1.231025653
33,2,-7.8,1.902,4.779,0.823188113
33,3,-7.5,3.958,5.978,1.420049043
33,4,-7.2,1.691,4.825,0.845532459
33,5,-7.1,3.716,6.3,0.899306318
33,6,-6.6,4.038,6.267,1.259029404
33,7,-6.6,1.806,2.252,1.057639424
33,8,-6.5,3.757,6.334,0.955450542
33,9,-6.4,4.11,5.894,1.412465931
34,1,-8,0,0,1.147320739
34,2,-7.8,2.836,5.091,1.349170933
34,3,-7.7,0.999,1.609,1.501249516
34,4,-7.7,4.327,7.344,1.704072796
34,5,-7.4,1.924,4.382,1.285531959
34,6,-7.3,2.81,5.099,1.063858252
34,7,-7.3,2.691,4.434,1.186477397
34,8,-7.3,2.559,5.067,1.333323785
34,9,-7.2,4.227,6.881,1.135817032
35,1,-7.3,0,0,1.208955677
35,2,-7,1.949,5.28,0.599328448
35,3,-6.7,1.846,5.255,1.330445781
35,4,-6.6,1.904,4.469,1.501655618
35,5,-6.6,2.179,4.931,1.452890644
35,6,-6.4,1.999,4.939,1.340246442
35,7,-6.4,2.147,6.143,1.008947488
35,8,-6.3,2.302,4.899,1.369998055
35,9,-6.3,2.276,5.369,1.313794516
36,1,-8.8,0,0,0.949200307
36,2,-7.9,1.843,5.045,0.557686747
36,3,-7.5,4.2,6.487,1.335807262
36,4,-7.4,1.86,4.753,0.676999509
36,5,-7.3,3.774,5.867,1.476689268
36,6,-7.1,3.678,6.268,1.138014888
36,7,-7,3.773,5.79,0.813715298
36,8,-6.7,4.353,7.082,1.305824269
