NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
16,6,-7.4,1.656,4.828,1.783032524
16,7,-7.4,3.655,6.065,1.680121589
16,8,-7.4,1.806,2.35,1.229819798
16,9,-7.3,2.166,4.873,2.039582812
17,1,-7.2,0,0,1.55624203
17,2,-7,2.244,4.756,1.209251509
17,3,-6.7,1.962,3.087,1.283380094
17,4,-6.6,2.372,5.407,1.303963194
17,5,-6.6,2.745,4.691,1.296372665
17,6,-6.5,2.205,5.15,1.356066033
17,7,-6.5,2.271,4.893,1.53346894
17,8,-6.4,2.794,5.554,1.293499436
17,9,-6.4,2.686,6.05,1.266352967
18,1,-7.2,0,0,1.556577083
18,2,-7.2,2.095,4.674,1.228114189
18,3,-6.7,1.836,3.265,1.26266657
18,4,-6.7,2.318,5.735,0.582131763
18,5,-6.6,2.081,4.931,1.366913089
18,6,-6.6,2.282,5.316,1.35715234
18,7,-6.3,2.476,5.874,1.048648581
18,8,-6.2,2.192,4.97,1.332195292
18,9,-6.2,2.839,5.344,1.07786591
19,1,-7.6,0,0,1.051628188
19,2,-7.4,3.427,5.73,1.018503678
19,3,-7.3,3.349,5.771,1.279487011
19,4,-7.1,3.791,6.092,1.049462589
19,5,-6.8,3.46,6.273,1.239028096
19,6,-6.8,2.473,4.769,1.298213815
19,7,-6.4,3.058,5.222,1.535571989
19,8,-6.3,3.555,6.168,1.704884438
19,9,-6.3,4.581,6.996,1.323957648
20,1,-8.3,0,0,1.067567048
20,2,-8,1.627,2.1,2.000571178
20,3,-7.9,3.401,5.194,1.639098636
20,4,-7.6,2.065,5.009,0.99946778
20,5,-7.4,1.738,4.782,1.816225554
20,6,-7.4,3.643,6.067,1.695850293
20,7,-7.3,3.883,4.718,2.146176856
20,8,-7.3,2.21,4.922,2.050220162
20,9,-7.1,3.68,6.17,2.143905356
21,1,-7.2,0,0,1.557651489
21,2,-7,2.236,4.755,1.209322586
21,3,-6.7,1.966,3.031,1.268451441
21,4,-6.6,2.382,5.414,1.30934328
21,5,-6.6,2.681,5.986,1.202818068
21,6,-6.5,2.317,4.977,1.41637505
21,7,-6.5,2.842,5.438,0.99457895
21,8,-6.4,2.524,4.096,1.220814574
21,9,-6.3,2.522,5.94,1.020774602
22,1,-8.1,0,0,0.957175064
22,2,-7.9,3.776,5.796,1.465399014
22,3,-7.5,1.864,4.871,0.858265634
22,4,-7.3,3.347,6.028,0.98853947
22,5,-7.3,1.885,4.858,0.723930095
