1	1	-9	0	0
1	2	-9	2.551	7.069
1	3	-9	2.718	6.883
1	4	-8.9	2.363	3.263
1	5	-8.7	2.612	3.406
1	6	-8.7	2.133	2.833
1	7	-8.6	2.659	6.92
1	8	-8.6	2.903	4.269
1	9	-8.5	2.707	6.65
2	1	-9.6	0	0
2	2	-9.6	2.534	7.064
2	3	-9.6	1.793	1.888
2	4	-9.4	2.862	8.644
2	5	-9.4	1.314	1.84
2	6	-9.4	2.77	8.041
2	7	-9.2	3.695	7.833
2	8	-9.2	3.676	7.686
2	9	-9.2	1.862	2.187
3	1	-8.8	0	0
3	2	-8.8	2.571	7.349
3	3	-8.8	3.257	8.553
3	4	-8.7	3.012	7.649
3	5	-8.7	3.731	7.676
3	6	-8.7	2.318	5.658
3	7	-8.6	1.606	2.151
3	8	-8.5	2.251	7.369
3	9	-8.5	2.118	5.514
4	1	-8.8	0	0
4	2	-8.8	2.641	7.336
4	3	-8.7	3.258	8.553
4	4	-8.7	3.012	7.639
4	5	-8.7	3.744	7.667
4	6	-8.7	2.314	5.654
4	7	-8.5	3.085	7.204
4	8	-8.5	2.19	5.448
4	9	-8.4	3.046	7.787
5	1	-9.1	0	0
5	2	-8.9	2.56	7.327
5	3	-8.9	3.154	8.557
5	4	-8.9	2.099	5.647
5	5	-8.9	1.892	2.597
5	6	-8.9	2.916	7.637
5	7	-8.7	1.866	5.435
5	8	-8.6	3.035	6.946
5	9	-8.5	2.154	7.395
6	1	-9.2	0	0
6	2	-8.9	3.166	8.589
6	3	-8.9	1.704	2.274
6	4	-8.9	2.544	7.349
6	5	-8.9	2.917	7.684
6	6	-8.8	2.106	5.669
6	7	-8.8	1.434	1.57
6	8	-8.6	3.687	8.092
6	9	-8.6	2.056	5.496
7	1	-9.2	0	0
7	2	-8.9	1.734	2.303
7	3	-8.9	2.916	7.645
7	4	-8.9	2.103	5.658
7	5	-8.8	3.708	7.622
7	6	-8.7	1.894	5.469
7	7	-8.5	2.895	7.185
7	8	-8.4	1.589	5.162
7	9	-8.4	3.585	7.835
8	1	-9.9	0	0
8	2	-9.7	3.765	7.123
8	3	-9.4	2.599	5.456
8	4	-9.3	2.526	3.368
8	5	-9.2	2.761	3.409
8	6	-9	3.557	7.725
8	7	-9	2.517	3.149
8	8	-8.9	3.063	7.614
8	9	-8.7	2.439	5.562
9	1	-9.7	0	0
9	2	-9.6	1.763	1.852
9	3	-9.5	2.797	7.883
9	4	-9.5	2.887	8.666
9	5	-9.5	2.492	7.467
9	6	-9.4	3.083	7.893
9	7	-9.4	3.858	7.944
9	8	-9.3	1.87	2.191
9	9	-9.2	3.651	7.624
10	1	-9.7	0	0
10	2	-9.6	1.804	1.901
10	3	-9.6	2.555	7.091
10	4	-9.5	2.794	7.876
10	5	-9.5	2.887	8.673
10	6	-9.4	2.366	2.792
10	7	-9.4	1.236	1.84
10	8	-9.4	3.862	7.946
10	9	-9.2	1.897	2.267
11	1	-8.9	0	0
11	2	-8.9	2.58	7.344
11	3	-8.8	3.247	8.568
11	4	-8.7	2.324	5.669
11	5	-8.6	1.583	2.127
11	6	-8.5	2.554	6.991
11	7	-8.5	3.095	7.18
11	8	-8.5	2.172	5.463
11	9	-8.5	1.492	1.63
12	1	-8.8	0	0
12	2	-8.8	2.612	7.335
12	3	-8.7	3.26	8.566
12	4	-8.7	3.003	7.634
12	5	-8.7	2.307	5.652
12	6	-8.6	3.697	7.676
12	7	-8.5	1.584	2.129
12	8	-8.5	3.069	7.78
12	9	-8.5	3.06	7.21
13	1	-9.2	0	0
13	2	-8.9	1.593	2.137
13	3	-8.9	3.163	8.572
13	4	-8.9	2.921	7.656
13	5	-8.8	2.094	5.617
13	6	-8.8	2.562	7.22
13	7	-8.8	3.698	7.654
13	8	-8.6	1.869	5.53
13	9	-8.3	3.643	7.498
14	1	-9.2	0	0
14	2	-8.9	1.581	2.287
14	3	-8.9	3.157	8.576
14	4	-8.9	2.57	7.35
14	5	-8.8	2.914	7.662
14	6	-8.6	3.052	8.056
14	7	-8.6	2.048	5.496
14	8	-8.5	1.63	1.947
14	9	-8.5	2.532	6.996
15	1	-9.2	0	0
15	2	-8.9	1.578	2.119
15	3	-8.9	3.159	8.577
15	4	-8.9	2.556	7.368
15	5	-8.8	2.095	5.662
15	6	-8.8	2.916	7.654
15	7	-8.5	3.046	6.976
15	8	-8.5	2.489	7.009
15	9	-8.5	2.082	5.558
16	1	-8.3	0	0
16	2	-8.2	2.226	2.841
16	3	-8.1	3.977	4.863
16	4	-8.1	2.928	7.351
16	5	-8	3.423	7.637
16	6	-7.8	3.201	4.493
16	7	-7.7	3.094	7.635
16	8	-7.7	3.263	3.973
16	9	-7.7	3.098	7.342
17	1	-8.3	0	0
17	2	-8.2	2.207	2.806
17	3	-8.1	3.99	4.871
17	4	-8.1	2.912	7.347
17	5	-8	3.424	7.63
17	6	-7.9	3.265	7.623
17	7	-7.7	3.05	7.346
17	8	-7.7	2.958	4.279
17	9	-7.6	4.695	5.725
18	1	-8.3	0	0
18	2	-8.2	2.21	2.813
18	3	-8.1	3.97	4.846
18	4	-8.1	2.917	7.345
18	5	-8	3.429	7.626
18	6	-7.8	2.994	7.322
18	7	-7.8	3.303	7.739
18	8	-7.8	3.599	4.308
18	9	-7.7	3.057	4.815
19	1	-8.4	0	0
19	2	-8.2	2.068	2.821
19	3	-8.1	2.552	8.044
19	4	-8	2.716	8.287
19	5	-7.9	1.563	2.274
19	6	-7.9	4.183	4.912
19	7	-7.9	3.331	7.319
19	8	-7.8	3.98	5.444
19	9	-7.7	4.372	5.612
20	1	-8.4	0	0
20	2	-8.2	2.059	2.789
20	3	-8.1	2.588	8.051
20	4	-8	2.751	8.293
20	5	-7.9	4.007	5.452
20	6	-7.9	4.214	4.948
20	7	-7.9	3.347	7.347
20	8	-7.8	2.875	8.042
20	9	-7.8	4.537	6.268
21	1	-8.2	0	0
21	2	-8.2	2.212	2.867
21	3	-8.1	3.983	4.906
21	4	-8.1	2.947	7.355
21	5	-8	3.312	7.664
21	6	-8	3.421	7.633
21	7	-7.8	3.2	4.508
21	8	-7.8	3.059	7.362
21	9	-7.7	3.564	4.271
22	1	-8.3	0	0
22	2	-8.2	2.196	2.802
22	3	-8.1	3.999	4.888
22	4	-8.1	2.923	7.35
22	5	-8	3.332	7.677
22	6	-7.8	3.017	7.329
22	7	-7.8	3.462	4.226
22	8	-7.7	2.969	4.381
22	9	-7.7	3.082	7.65
23	1	-8.3	0	0
23	2	-8.2	2.214	2.813
23	3	-8.1	3.978	4.87
23	4	-8.1	2.917	7.343
23	5	-8	3.425	7.624
23	6	-7.8	3.354	7.681
23	7	-7.8	3.459	4.226
23	8	-7.7	3.085	7.348
23	9	-7.6	4.577	8.074
24	1	-8.4	0	0
24	2	-8.1	2.003	2.691
24	3	-8.1	2.581	8.043
24	4	-7.9	3.77	5.268
24	5	-7.9	3.333	7.339
24	6	-7.8	2.719	8.276
24	7	-7.7	2.844	8.057
24	8	-7.6	1.611	1.887
24	9	-7.6	4.256	5.604
25	1	-8.3	0	0
25	2	-8.2	2.204	2.813
25	3	-8.1	3.998	4.875
25	4	-8.1	2.924	7.349
25	5	-8	3.429	7.622
25	6	-8	3.333	7.683
25	7	-7.8	3.47	4.222
25	8	-7.5	3.075	4.517
25	9	-7.5	3.417	7.576
26	1	-8.3	0	0
26	2	-8.1	3.976	4.875
26	3	-8.1	2.921	7.345
26	4	-8	3.393	7.608
26	5	-7.9	3.328	7.672
26	6	-7.8	3.463	4.241
26	7	-7.8	2.932	7.275
26	8	-7.6	3.03	4.131
26	9	-7.5	3.174	4.863
27	1	-8.3	0	0
27	2	-8.2	2.211	2.816
27	3	-8.1	4.005	4.904
27	4	-8.1	2.922	7.347
27	5	-8	2.875	7.309
27	6	-8	3.35	7.685
27	7	-7.8	3.56	7.454
27	8	-7.8	3.501	4.278
27	9	-7.7	2.512	3.341
28	1	-9.7	0	0
28	2	-9.6	1.81	1.905
28	3	-9.6	2.537	7.076
28	4	-9.5	2.798	7.876
28	5	-9.5	2.895	8.675
28	6	-9.4	3.868	7.951
28	7	-9.2	1.988	5.473
28	8	-9.1	2.913	7.231
28	9	-9.1	3.203	5.967
29	1	-9.7	0	0
29	2	-9.6	1.796	1.895
29	3	-9.6	2.528	7.073
29	4	-9.5	2.791	7.871
29	5	-9.5	2.893	8.669
29	6	-9.2	1.86	2.233
29	7	-9.2	3.78	7.961
29	8	-9.2	2.372	7.289
29	9	-8.9	2.689	7.832
30	1	-9.3	0	0
30	2	-9.1	2.435	7.537
30	3	-9	1.271	1.408
30	4	-9	1.477	2.001
30	5	-8.9	3.18	8.039
30	6	-8.9	2.309	7.289
30	7	-8.9	2.987	7.936
30	8	-8.8	2.076	5.835
30	9	-8.8	2.648	7.474
31	1	-9.3	0	0
31	2	-9.2	2.502	7.283
31	3	-9	1.456	1.987
31	4	-9	2.561	3.37
31	5	-9	3.289	8.69
31	6	-8.9	3.156	8.022
31	7	-8.9	2.342	7.274
31	8	-8.9	2.12	5.866
31	9	-8.8	1.933	5.667
32	1	-8.8	0	0
32	2	-8.8	2.565	7.359
32	3	-8.7	3.013	7.641
32	4	-8.7	3.257	8.585
32	5	-8.6	2.329	5.65
32	6	-8.5	1.573	2.119
32	7	-8.5	3.086	7.206
32	8	-8.4	2.265	7.288
32	9	-8.3	2.34	5.565
33	1	-8.8	0	0
33	2	-8.8	2.614	7.318
33	3	-8.6	3.123	4.866
33	4	-8.6	3.015	4.271
33	5	-8.6	2.341	3.085
33	6	-8.5	2.106	2.638
33	7	-8.4	2.949	7.055
33	8	-8.2	2.556	4.99
33	9	-8.2	3.385	5.819
34	1	-8.9	0	0
34	2	-8.9	2.072	5.549
34	3	-8.8	2.837	7.488
34	4	-8.7	3.751	7.559
34	5	-8.6	1.447	5.236
34	6	-8.5	2.707	7.745
34	7	-8.3	2.924	6.342
34	8	-8.2	2.145	7.103
34	9	-8.2	2.823	7.119
35	1	-9.1	0	0
35	2	-9	2.575	7.317
35	3	-9	1.631	2.337
35	4	-8.9	2.109	5.655
35	5	-8.9	2.923	7.596
35	6	-8.8	3.704	7.589
35	7	-8.7	2.784	8.037
35	8	-8.5	2.889	7.162
35	9	-8.5	3.166	6.045
36	1	-9.2	0	0
36	2	-8.9	1.588	2.295
36	3	-8.9	3.164	8.574
36	4	-8.9	2.92	7.678
36	5	-8.8	2.531	7.384
36	6	-8.8	2.097	5.634
36	7	-8.6	3.188	8.164
36	8	-8.6	1.868	5.435
36	9	-8.6	2.492	7.006
37	1	-9.7	0	0
37	2	-9.6	1.829	1.931
37	3	-9.6	2.549	7.082
37	4	-9.5	2.788	7.868
37	5	-9.3	2.703	8.267
37	6	-9.3	1.863	2.23
37	7	-9.2	2.932	7.244
37	8	-9.1	3.27	6.261
37	9	-9.1	2.001	5.491
38	1	-9.7	0	0
38	2	-9.6	1.792	1.889
38	3	-9.6	2.527	7.078
38	4	-9.5	2.794	7.873
38	5	-9.5	2.889	8.67
38	6	-9.4	1.456	2.048
38	7	-9.4	3.086	7.895
38	8	-9.4	3.849	7.942
38	9	-9.2	2.945	8.055
39	1	-9.2	0	0
39	2	-9.1	2.474	7.233
39	3	-8.9	1.531	2.03
39	4	-8.9	3.339	8.667
39	5	-8.8	1.836	5.645
39	6	-8.8	3.444	7.511
39	7	-8.7	1.535	2.093
39	8	-8.7	2.597	7.422
39	9	-8.6	3.341	7.617
40	1	-9.3	0	0
40	2	-9.1	2.524	7.278
40	3	-9	1.455	1.986
40	4	-9	2.55	3.356
40	5	-9	2.991	7.9
40	6	-8.9	3.152	8.02
40	7	-8.9	1.752	2.513
40	8	-8.8	2.065	7.396
40	9	-8.7	2.645	7.461
41	1	-8.8	0	0
41	2	-8.7	2.624	7.351
41	3	-8.7	3.143	4.915
41	4	-8.6	2.412	3.217
41	5	-8.4	3.184	3.997
41	6	-8.4	1.731	2.127
41	7	-8.4	3.097	6.908
41	8	-8.4	1.724	2.375
41	9	-8.2	2.892	7.052
42	1	-8.8	0	0
42	2	-8.8	2.621	7.339
42	3	-8.7	3.256	8.542
42	4	-8.7	3.005	7.636
42	5	-8.6	2.337	5.667
42	6	-8.5	1.568	2.113
42	7	-8.4	2.102	5.506
42	8	-8.4	1.46	1.596
42	9	-8.4	2.613	3.234
43	1	-8.9	0	0
43	2	-8.9	2.074	5.566
43	3	-8.8	2.835	7.483
43	4	-8.7	1.438	5.198
43	5	-8.7	3.76	7.556
